#Time(BJD_TDB),RV(km/s),RVerr(km/s),Targets
2459934.8467573,9.4927000,0.0030000,TOI-3972
2460236.0158877,9.7512000,0.0032000,TOI-3972
2460252.8735772,9.3166000,0.0040000,TOI-3972
2460253.9631552,9.4421000,0.0059000,TOI-3972
2460255.8740232,9.6405000,0.0041000,TOI-3972
2460258.8218799,9.8086000,0.0038000,TOI-3972
2460259.8169129,9.7263000,0.0043000,TOI-3972
2460272.7064506,9.2129000,0.0061000,TOI-3972
2460277.9095902,9.7299000,0.0050000,TOI-3972
2460292.8311357,9.3346000,0.0040000,TOI-3972
2460318.7969526,9.6282000,0.0040000,TOI-3972
2460338.7448275,9.5383000,0.0083000,TOI-3972
