System,pl_letters,tic_id,planet_type,star_type,Teff,errup,errdn,lambda_,errup.1,errdn.1,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2
WASP-022,b,TIC 257567854,HotJuipter,HotStar,6153,46,46,22,16,16,8.94,0.85,-0.85,0.67,0.19,-0.19
WASP-025,b,TIC 229047362,WarmJuipter,CoolStar,5736,35,35,14.6,6.7,6.7,11.1,0.52,-0.52,0.44,0.1,-0.1
WASP-028,b,TIC 398572544,HotJuipter,CoolStar,6084,45,45,8,18,18,8.62,0.1,-0.1,0.889,0.058,-0.058
WASP-032,b,TIC 427332229,HotJuipter,HotStar,6100,100,100,10.5,6.4,6.5,7.72,0.25,-0.25,2.63,0.82,-0.82
WASP-038,b,TIC 318696424,WarmJuipter,HotStar,6436,60,60,7.5,4.7,6.1,12.11,0.27,-0.27,3.44,0.36,-0.36
WASP-041,b,TIC 398943781,HotJuipter,CoolStar,5546,33,33,29,10,14,9.96,0.42,-0.42,0.85,0.11,-0.11
WASP-043,b,TIC 36734222,HotJuipter,CoolStar,4240,30,20,3.5,6.8,6.8,5.089094351,,,1.78,0.1,-0.1
WASP-047b,b,TIC 102264230,HotJuipter,CoolStar,5576,67,67,0,24,24,9.639372496,,,1.17674,0.05349,-0.05034
WASP-052,b,TIC 427685831,HotJuipter,CoolStar,5000,100,100,0.6,0.93,0.94,7.3801,0.1106,-0.1073,0.46,0.02,-0.02
WASP-053,b,TIC 268766053,WarmJuipter,CoolStar,4950,60,60,-1,12,12,11.05,0.2,-0.19,2.132,0.092,-0.094
WASP-060,b,TIC 288246496,HotJuipter,HotStar,6105,50,50,-129,17,17,10.04,1.16,-1.16,0.55,0.19,-0.19
WASP-061,b,TIC 13021029,HotJuipter,HotStar,6250,150,150,4,17.1,18.4,7.227855039,,,2.68,0.84,-0.84
WASP-062,b,TIC 149603524,HotJuipter,HotStar,6230,80,80,19.4,5.1,4.9,9.982387064,,,0.52,0.08,-0.08
WASP-066,b,TIC 53735810,HotJuipter,HotStar,6600,150,150,-4,22,22,6.73,0.37,-0.37,2.35,0.98,-0.98
WASP-074,b,TIC 244089109,HotJuipter,CoolStar,5984,57,57,0.77,0.99,0.99,5.21377262,,,0.72,0.12,-0.12
WASP-078,b,TIC 139528693,HotJuipter,HotStar,6100,150,150,-6.4,5.9,5.9,3.048911215,,,1.11,0.54,-0.54
WASP-079,b,TIC 170634116,HotJuipter,HotStar,6600,100,100,-99.1,4.1,3.9,7.390840317,,,0.85,0.08,-0.08
WASP-080,b,TIC 243921117,WarmJuipter,CoolStar,4145,100,100,-14,14,14,12.63,0.08,-0.13,0.538,0.035,-0.036
WASP-084b,b,TIC 350293646,WarmJuipter,CoolStar,5280,80,80,-0.3,1.7,1.7,21.78,0.21,-0.2,0.692,0.058,-0.058
WASP-101,b,TIC 47911178,HotJuipter,HotStar,6380,120,120,34,3,3,8.300897796,,,0.51,0.08,-0.08
WASP-103,b,TIC 276754403,HotJuipter,HotStar,6110,160,160,2,35,36,2.964158535,,,1.49,0.088,-0.088
WASP-106,b,TIC 53189332,WarmJuipter,HotStar,6265,36,36,-1,11,11,13.79,0.44,-0.44,1.62,0.94,-0.94
WASP-109,b,TIC 335255072,HotJuipter,HotStar,6520,140,140,99,10,9,7.4,0.13,-0.13,0.91,0.13,-0.13
WASP-121,b,TIC 22529346,HotJuipter,HotStar,6586,59,59,87.2,0.41,0.45,3.823448467,,,1.157,0.07,-0.07
WASP-167,b,TIC 104024556,HotJuipter,HotStar,6900,150,150,-165,5,5,4.23,0.08,-0.07,8,,0.1
WASP-190,b,TIC 116156517,HotJuipter,HotStar,6400,100,100,21,6,6,9.05,0.68,-0.88,1,0.1,-0.1
XO-3,b,TIC 8400842,HotJuipter,HotStar,6471,83,82,37.3,3,3,4.95,0.18,-0.18,7.29,1.19,-1.19
XO-4,b,TIC 51234631,HotJuipter,HotStar,6397,70,70,-46.7,8.1,6.1,7.68,0.11,-0.11,1.42,0.19,-0.19
XO-6,b,TIC 138168780,HotJuipter,HotStar,6720,100,100,-20.7,2.3,2.3,9.08,0.17,-0.17,4.4,,0.1
TOI-559,b,TIC 209459275,WarmJuipter,CoolStar,6002,95,94,10,12,14,11.71,0.33,0.31,7.13,0.53,0.53
TOI-2025,b,TIC 394050135,WarmJuipter,CoolStar,5900,160,140,-10.2,6.9,10,13.17,0.34,0.26,5.46,0.37,0.41
TOI-2031,b,TIC 470127886,WarmJuipter,HotStar,6420,120,110,-6.1,7.5,10,11.17,0.17,0.26,1,0.1,0.1
TOI-2485,b,TIC 328934463,WarmJuipter,CoolStar,6090,120,120,-20,26,21,13.65,0.43,0.61,1,0.1,0.1
TOI-2524,b,TIC 169249234,WarmJuipter,CoolStar,5800,130,130,10,19,22,13.99,0.35,0.35,0.648,0.064,0.06
TOI-3972,b,TIC 284206913,WarmJuipter,CoolStar,5424,95,90,-12.1,8.5,10,21.4,0.19,0.19,3.67,0.23,0.064
