#property,value,lower_error,upper_error,source
Companion mass c; $M_\mathrm{c}$ ($\mathrm{M_{\oplus}}$),11.933994572300602,0.9682466532374256,0.9928341650964043,derived
Companion mass c; $M_\mathrm{c}$ ($\mathrm{M_{jup}}$),0.03754854608549819,0.003046444663683659,0.003123805627489304,derived
Companion mass c; $M_\mathrm{c}$ ($\mathrm{M_{\odot}}$),3.584362558714804e-05,2.908118510059039e-06,2.981966840042215e-06,derived
Impact parameter c; $b_\mathrm{tra;c}$,0.41710833796922525,0.15701783162551752,0.09699520330753958,derived
Total transit duration c; $T_\mathrm{tot;c}$ (h),5.027711426686023,0.05720250785754466,0.05261308563929212,derived
Full-transit duration c; $T_\mathrm{full;c}$ (h),4.673177367448935,0.06712455601929701,0.06868474148703019,derived
Host density from orbit c; $\rho_\mathrm{\star;c}$ (cgs),1.5124645620323738,0.1406525250747075,0.16446618994888995,derived
Companion density c; $\rho_\mathrm{c}$ (cgs),3.529901127675873,0.3283893227602963,0.35192719381653026,derived
Companion surface gravity c; $g_\mathrm{c}$ (cgs),1239.9466488403255,146.18265427006395,163.02363619382913,derived
Equilibrium temperature c; $T_\mathrm{eq;c}$ (K),553.202467737963,9.43556331425657,9.07343737825579,derived
Transit depth (undil.) c; $\delta_\mathrm{tr; undil; c; n20160213.Kepler.K2.Tran}$ (ppt),1.1326846646656508,0.015499052234080324,0.014973036082888136,derived
Transit depth (dil.) c; $\delta_\mathrm{tr; dil; c; n20160213.Kepler.K2.Tran}$ (ppt),1.1326846646656508,0.015499052234080324,0.014973036082888136,derived
Transit depth (undil.) c; $\delta_\mathrm{tr; undil; c; n20161031.Spit45.Spit.Tran}$ (ppt),0.9759987910670844,0.04058080810341458,0.0468838606220956,derived
Transit depth (dil.) c; $\delta_\mathrm{tr; dil; c; n20161031.Spit45.Spit.Tran}$ (ppt),0.9272080384695736,0.02751691808611234,0.02851040366358415,derived
Transit depth (undil.) c; $\delta_\mathrm{tr; undil; c; n20201018.V.CHPS.Tran}$ (ppt),1.0384133242847815,0.040318714070397554,0.03823031197192073,derived
Transit depth (dil.) c; $\delta_\mathrm{tr; dil; c; n20201018.V.CHPS.Tran}$ (ppt),1.0384133242847815,0.040318714070397554,0.03823031197192073,derived
Transit depth (undil.) c; $\delta_\mathrm{tr; undil; c; n20260122.Kepler.K2.Tran}$ (ppt),1.1330894898756716,0.014495255366897553,0.01464651343663359,derived
Transit depth (dil.) c; $\delta_\mathrm{tr; dil; c; n20260122.Kepler.K2.Tran}$ (ppt),1.1330894898756716,0.014495255366897553,0.01464651343663359,derived
Transit depth (undil.) c; $\delta_\mathrm{tr; undil; c; n20260122.Spit45.Spit.Tran}$ (ppt),0.9773869345389783,0.04143601971317801,0.04727595979009669,derived
Transit depth (dil.) c; $\delta_\mathrm{tr; dil; c; n20260122.Spit45.Spit.Tran}$ (ppt),0.9284285581860896,0.027876374736335308,0.028888549801986407,derived
Transit depth (undil.) c; $\delta_\mathrm{tr; undil; c; n20260122.V.CHPS.Tran}$ (ppt),1.0391174773798362,0.042178128557113226,0.038430770784581014,derived
Transit depth (dil.) c; $\delta_\mathrm{tr; dil; c; n20260122.V.CHPS.Tran}$ (ppt),1.0391174773798362,0.042178128557113226,0.038430770784581014,derived
Period ratio; $P_\mathrm{c} / P_\mathrm{b}$,31.101052703888524,0.00013193720227988592,0.00014969566787570443,derived
Period ratio; $P_\mathrm{c} / P_\mathrm{d}$,3.5514124121996162,0.0016110785010190476,0.0012684511728742187,derived
Period ratio; $P_\mathrm{c} / P_\mathrm{e}$,0.30965644181005947,0.0012099309866598906,0.0011669726476589704,derived
Eccentricity d; $e_\mathrm{d}$,0.06545446194647445,0.046687821717631965,0.08488622096354953,derived
Argument of periastron d; $w_\mathrm{d}$ (deg),99.59716044803318,49.65438020136197,174.30710078940248,derived
Period ratio; $P_\mathrm{d} / P_\mathrm{b}$,8.757379560386502,0.0031301602209268253,0.003972784810676089,derived
Period ratio; $P_\mathrm{d} / P_\mathrm{c}$,0.28157811144795664,0.00010053480722244101,0.00012779431834814003,derived
Period ratio; $P_\mathrm{d} / P_\mathrm{e}$,0.08720666614961484,0.00034928915323255427,0.00033184713389829146,derived
Eccentricity e; $e_\mathrm{e}$,0.17745078053199234,0.08670805171687114,0.09081428700354657,derived
