#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
variance_flux_n20160213.Kepler.K2.Tran,1.2663431779137813e-10,9.701581826512017e-11,1.014425454739487e-10,$\sigma^2_{\rm n20160213.Kepler.K2.Tran}$,relflux2
variance_flux_n20161031.Spit45.Spit.Tran,-6.562509784079309e-09,7.143163123090863e-09,7.352896044403179e-09,$\sigma^2_{\rm n20161031.Spit45.Spit.Tran}$,relflux2
variance_flux_n20180521.G141.HST_WFC3_G141.Tran,4.9980710996860805e-05,3.412650083668944e-05,3.3903016129299757e-05,$\sigma^2_{\rm n20180521.G141.HST.WFC3.G141.Tran}$,relflux2
variance_flux_n20180522.G141.HST_WFC3_G141.Tran,5.015380295772958e-05,3.422594019778522e-05,3.384391930158571e-05,$\sigma^2_{\rm n20180522.G141.HST.WFC3.G141.Tran}$,relflux2
variance_flux_n20180720.G141.HST_WFC3_G141.Tran,5.0300078202827585e-05,3.389734311462821e-05,3.3905215109109014e-05,$\sigma^2_{\rm n20180720.G141.HST.WFC3.G141.Tran}$,relflux2
variance_flux_n20190613.G141.HST_WFC3_G141.Tran,4.9692776697964236e-05,3.361353584154671e-05,3.431035907596369e-05,$\sigma^2_{\rm n20190613.G141.HST.WFC3.G141.Tran}$,relflux2
variance_flux_n20190614.G141.HST_WFC3_G141.Tran,4.99948910094549e-05,3.406789012508852e-05,3.3800160479412624e-05,$\sigma^2_{\rm n20190614.G141.HST.WFC3.G141.Tran}$,relflux2
variance_flux_n20190614.V.HST.Tran,5.027220848853947e-05,3.397837823389838e-05,3.3681156419604474e-05,$\sigma^2_{\rm n20190614.V.HST.Tran}$,relflux2
variance_flux_n20190812.G141.HST_WFC3_G141.Tran,5.054618947226917e-05,3.42538272078867e-05,3.3546928690861985e-05,$\sigma^2_{\rm n20190812.G141.HST.WFC3.G141.Tran}$,relflux2
variance_flux_n20200706.G141.HST_WFC3_G141.Tran,5.029553503059072e-05,3.3948968263658773e-05,3.3632668933339824e-05,$\sigma^2_{\rm n20200706.G141.HST.WFC3.G141.Tran}$,relflux2
variance_flux_n20201018.V.CHPS.Tran,-4.897825473038768e-10,6.064746105954743e-10,6.823692343834096e-10,$\sigma^2_{\rm n20201018.V.CHPS.Tran}$,relflux2
variance_flux_n20260122.Kepler.K2.Tran,1.2609590987234552e-10,9.80567678670693e-11,1.0158684189643363e-10,$\sigma^2_{\rm n20260122.Kepler.K2.Tran}$,relflux2
variance_flux_n20260122.Spit45.Spit.Tran,-6.569823501161888e-09,7.241725306935165e-09,7.484196635678145e-09,$\sigma^2_{\rm n20260122.Spit45.Spit.Tran}$,relflux2
