System,Teff,Teff_errup,Teff_errdn,Pflag,SOCatflag,lambdadeg,lambdadeg_errup,lambdadeg_errdn,psi,psi_errup,psi_errdn,Ref,Author_string,Ephemeris_reference,Ephemeris_Url,Method,Model,pl_letter,TIC,Gaia DR3,sep,sep_err,sep_ref,Albrecht2022_Excluded_Flag,BinaryMultiStarFlag
CoRoT-02,5598,50,50,n,n,4.7,12.3,12.3,-999,-999,-999,Nutzmann et al. (2011),Nutzmann_et_al._(2011),2011ApJ...740L..10N,https://ui.adsabs.harvard.edu/abs/2011ApJ...740L..10N,SC,,b,TIC 391958006,Gaia DR3 4287820848378092672,858,13,Rice2024,0,NG
CoRoT-02,5598,50,50,n,n,4,5.9,6.1,-999,-999,-999,Gillon et al. (2010),Gillon_et_al._(2010),2010A+A...511A...3G,https://ui.adsabs.harvard.edu/abs/2010A%26A...511A...3G,RM,???,b,TIC 391958006,Gaia DR3 4287820848378092672,858,13,Rice2024,0,NG
CoRoT-03,6558,44,44,y,y,-37.6,22.3,10,-999,-999,-999,Triaud et al. (2009),Triaud_et_al._(2009),2009A+A...506..377T,https://ui.adsabs.harvard.edu/abs/2009A%26A...506..377T,RM,???,b,TIC 392353449,Gaia DR3 4263427117767106816,,,,0,
CoRoT-11,6343,72,72,y,y,0.1,2.6,2.6,-999,-999,-999,Gandolfi et al. (2012),Gandolfi_et_al._(2012),2012A+A...543L...5G,https://ui.adsabs.harvard.edu/abs/2012A%26A...543L...5G,DT,,b,TIC 110178537,Gaia DR3 4285511294172309504,1749,384,Rice2024,0,G
CoRoT-18,5440,100,100,y,y,-10,20,20,20,20,20,H&eacute;brard et al. (2011),H&eacute;brard_et_al._(2011),2011A+A...533A.130H,https://ui.adsabs.harvard.edu/abs/2011A%26A...533A.130H,RM,Ohta+2005,b,TIC 37168957,Gaia DR3 3120058170178779392,,,,0,
CoRoT-19,6090,70,70,y,y,-52,27,22,-999,-999,-999,Guenther et al. (2012),Guenther_et_al._(2012),2012A+A...537A.136G,https://ui.adsabs.harvard.edu/abs/2012A%26A...537A.136G,RM,???,b,TIC 42821097,Gaia DR3 3120002649138831360,,,,1,
CoRoT-36,6730,140,140,y,y,275.8,11.3,11.3,-999,-999,-999,Sebastian et al. (2022),Sebastian_et_al._(2022),2022MNRAS.516..636S,https://ui.adsabs.harvard.edu/abs/2022MNRAS.516..636S,RM,"Ohta+2005, ellc",b,TIC 405004589,Gaia DR3 4477340334766250496,,,,0,
DS_Tuc,5598,28,59,y,y,2.93,0.88,0.87,-999,-999,-999,Zhou et al. (2020),Zhou_et_al._(2020),2020ApJ...892L..21Z,https://ui.adsabs.harvard.edu/abs/2020ApJ...892L..21Z,RM,ARoME,b,TIC 410214986,Gaia DR3 6387058411482257536,236,12,Rice2024,0,SFNG
DS_Tuc,5598,28,59,n,n,12.1,2.6,2.1,-999,-999,-999,Benatti et al. (2021),Benatti_et_al._(2021),2021A+A...650A..66B,https://ui.adsabs.harvard.edu/abs/2021A%26A...650A..66B,RM,Ohta+2005,b,TIC 410214986,Gaia DR3 6387058411482257536,236,12,Rice2024,0,SFNG
EPIC_219388192,5553,82,86,n,n,16,16,15,25,11,14,Zak et al. (2025),Zak_et_al._(2025),arXiv:2505.20516,https://ui.adsabs.harvard.edu/abs/arXiv:2505.20516,RM,Boue2013,b,TIC 130633912,Gaia DR3 4087782677845919744,,,,0,
EPIC_219388192,5553,82,86,y,y,1.4,2.1,2.5,15,15,11,Carmichael et al. (2025),Carmichael_et_al._(2025),arXiv:2506.18971,https://ui.adsabs.harvard.edu/abs/arXiv:2506.18971,RM,Hirano2011,b,TIC 130633912,Gaia DR3 4087782677845919744,,,,0,
GJ_0436,3416,54,54,n,n,72,33,24,80,21,18,Bourrier et al. (2018),Bourrier_et_al._(2018),2018Natur.553..477B,https://ui.adsabs.harvard.edu/abs/2018Natur.553..477B,RRM,,b,TIC 138819293,Gaia DR3 4017860992519744384,,,,0,
GJ_0436,3416,54,54,y,y,114,23,17,103,13,12,Bourrier et al. (2022),Bourrier_et_al._(2022),2022A+A...663A.160B,https://ui.adsabs.harvard.edu/abs/2022A%26A...663A.160B,RM,ARoME,b,TIC 138819293,Gaia DR3 4017860992519744384,,,,0,
GJ_3470,3577,19,51,y,y,101,29,14,97,16,11,Stef&aacute;nsson et al. (2022),Stef&aacute;nsson_et_al._(2022),2022ApJ...931L..15S,https://ui.adsabs.harvard.edu/abs/2022ApJ...931L..15S,RM,Hirano+2010,b,TIC 19028197,Gaia DR3 654687847820642560,,,,0,
GPX-1,7000,200,200,y,y,6.9,10,10,-999,-999,-999,Giacalone et al. (2024),Giacalone_et_al._(2024),2024AJ....168..189G,https://ui.adsabs.harvard.edu/abs/2024AJ....168..189G,DT,#N/A,b,TIC 245392284,Gaia DR3 457317534880081152,,,,0,
HAT-P-01,5975,50,50,y,y,3.7,2.1,2.1,-999,-999,-999,Johnson et al. (2008),Johnson_et_al._(2008),2008ApJ...686..649J,https://ui.adsabs.harvard.edu/abs/2008ApJ...686..649J,RM,Ohta+2005,b,TIC 346338552,Gaia DR3 1928431764627661440,1807,33,Rice2024,0,SFNG
HAT-P-02,6290,60,60,n,n,1.2,13.4,13.4,-999,-999,-999,Winn et al. (2007),Winn_et_al._(2007),2007ApJ...665L.167W,https://ui.adsabs.harvard.edu/abs/2007ApJ...665L.167W,RM,Winn et al. (2005): Simulated RM spectra,b,TIC 39903405,Gaia DR3 1380825667768742144,,,,0,
HAT-P-02,6290,60,60,y,n,0.2,12.2,12.5,-999,-999,-999,Loeillet et al. (2008),Loeillet_et_al._(2008),2008A+A...481..529L,https://ui.adsabs.harvard.edu/abs/2008A%26A...481..529L,RM,Ohta+2005,b,TIC 39903405,Gaia DR3 1380825667768742144,,,,0,
HAT-P-02,6290,60,60,n,y,9,10,10,-999,-999,-999,Albrecht et al. (2012),Albrecht_et_al._(2012),2012ApJ...757...18A,https://ui.adsabs.harvard.edu/abs/2012ApJ...757...18A,RM,Hirano+2011,b,TIC 39903405,Gaia DR3 1380825667768742144,,,,0,
HAT-P-03,5190,80,80,y,y,21.2,8.7,8.7,-999,-999,-999,Mancini et al. (2018),Mancini_et_al._(2018),2018A+A...613A..41M,https://ui.adsabs.harvard.edu/abs/2018A%26A...613A..41M,RM,Covino +2013: Simulated data,b,TIC 311035838,Gaia DR3 1510191594552968832,1346,107,Rice2024,0,FNG
HAT-P-03,5190,80,80,n,n,-25.3,29.4,22.8,75.7,8.5,7.9,Bourrier et al. (2023),Bourrier_et_al._(2023),2023A+A...669A..63B,https://ui.adsabs.harvard.edu/abs/2023A%26A...669A..63B,RMR,,b,TIC 311035838,Gaia DR3 1510191594552968832,1346,107,Rice2024,0,FNG
HAT-P-04,6036,46,46,y,y,-4.9,11.9,11.9,-999,-999,-999,Winn et al. (2011),Winn_et_al._(2011),2011AJ....141...63W,https://ui.adsabs.harvard.edu/abs/2011AJ....141...63W,RM,Winn et al. (2005): Simulated RM spectra,b,TIC 138294130,Gaia DR3 1291120362349158016,29820,150,Rice2024,0,SNG
HAT-P-06,6570,80,80,n,n,166,10,10,-999,-999,-999,H&eacute;brard et al. (2011),H&eacute;brard_et_al._(2011),2011A+A...527L..11H,https://ui.adsabs.harvard.edu/abs/2011A%26A...527L..11H,RM,Ohta+2005,b,TIC 176899385,Gaia DR3 1925321658551399040,,,,0,
HAT-P-06,6570,80,80,y,y,165,6,6,-999,-999,-999,Albrecht et al. (2012),Albrecht_et_al._(2012),2012ApJ...757...18A,https://ui.adsabs.harvard.edu/abs/2012ApJ...757...18A,RM,Hirano+2011,b,TIC 176899385,Gaia DR3 1925321658551399040,,,,0,
HAT-P-07,6310,15,15,n,n,182.5,9.4,9.4,94.6,5.5,3,Winn et al. (2009),Winn_et_al._(2009),2009ApJ...703L..99W,https://ui.adsabs.harvard.edu/abs/2009ApJ...703L..99W,RM,Winn et al. (2005): Simulated RM spectra,b,TIC 424865156,Gaia DR3 2129256395211984000,1362,2137,Rice2024,0,NG
HAT-P-07,6310,15,15,n,n,-132.6,10.5,16.3,-999,-999,-999,Narita et al. (2009),Narita_et_al._(2009),2009PASJ...61L..35N,https://ui.adsabs.harvard.edu/abs/2009PASJ...61L..35N,RM,Winn et al. (2005): Simulated RM spectra,b,TIC 424865156,Gaia DR3 2129256395211984000,1362,2137,Rice2024,0,NG
HAT-P-07,6310,15,15,n,y,155,37,37,-999,-999,-999,Albrecht et al. (2012),Albrecht_et_al._(2012),2012ApJ...757...18A,https://ui.adsabs.harvard.edu/abs/2012ApJ...757...18A,RM,Hirano+2011,b,TIC 424865156,Gaia DR3 2129256395211984000,1362,2137,Rice2024,0,NG
HAT-P-07,6310,15,15,n,n,136,16,22,87,2,2,Masuda (2015) solution 2,Masuda_(2015)_solution_2,2015ApJ...805...28M,https://ui.adsabs.harvard.edu/abs/2015ApJ...805...28M,RM,,b,TIC 424865156,Gaia DR3 2129256395211984000,1362,2137,Rice2024,0,NG
HAT-P-07,6310,15,15,y,n,220.3,8.2,9.3,115,19,16,Benomar et al. (2014),Benomar_et_al._(2014),2014PASJ...66...94B,https://ui.adsabs.harvard.edu/abs/2014PASJ...66...94B,AS,,b,TIC 424865156,Gaia DR3 2129256395211984000,1362,2137,Rice2024,0,NG
HAT-P-07,6310,15,15,n,n,-999,-999,-999,97,14,14,Lund et al. (2014),Lund_et_al._(2014),2014A+A...570A..54L,https://ui.adsabs.harvard.edu/abs/2014A%26A...570A..54L,AS,,b,TIC 424865156,Gaia DR3 2129256395211984000,1362,2137,Rice2024,0,NG
HAT-P-07,6310,15,15,n,n,142,12,16,101,2,2,Masuda (2015) solution 1,Masuda_(2015)_solution_1,2015ApJ...805...28M,https://ui.adsabs.harvard.edu/abs/2015ApJ...805...28M,GD,,b,TIC 424865156,Gaia DR3 2129256395211984000,1362,2137,Rice2024,0,NG
HAT-P-07,6310,15,15,n,n,-999,-999,-999,116.4,30.2,14.7,Campante et al. (2016),Campante_et_al._(2016),2016ApJ...819...85C,https://ui.adsabs.harvard.edu/abs/2016ApJ...819...85C,AS,,b,TIC 424865156,Gaia DR3 2129256395211984000,1362,2137,Rice2024,0,NG
HAT-P-08,6200,80,80,n,n,-9.7,9,7.7,-999,-999,-999,Simpson et al. (2011),Simpson_et_al._(2011),2011MNRAS.414.3023S,https://ui.adsabs.harvard.edu/abs/2011MNRAS.414.3023S,RM,Ohta+2005,b,TIC 188876052,Gaia DR3 1891507552826485632,217,,Bechter et al. (2014),0,SN
HAT-P-08,6200,80,80,y,y,-17,9.2,11.5,-999,-999,-999,Moutou et al. (2011),Moutou_et_al._(2011),2011A+A...533A.113M,https://ui.adsabs.harvard.edu/abs/2011A%26A...533A.113M,RM,Ohta+2005,b,TIC 188876052,Gaia DR3 1891507552826485632,217,,Bechter et al. (2014),0,SN
HAT-P-09,6350,150,150,y,y,-16,8,8,-999,-999,-999,Moutou et al. (2011),Moutou_et_al._(2011),2011A+A...533A.113M,https://ui.adsabs.harvard.edu/abs/2011A%26A...533A.113M,RM,Ohta+2005,b,TIC 371234684,Gaia DR3 898130030131443584,,,,0,
HAT-P-11,4770,28,40,n,n,103,26,10,-999,-999,-999,Winn et al. (2010),Winn_et_al._(2010),2010ApJ...723L.223W,https://ui.adsabs.harvard.edu/abs/2010ApJ...723L.223W,RM,Winn et al. (2005): Simulated RM spectra,b,TIC 28230919,Gaia DR3 2086512227851023872,,,,0,
