# System          : planet name (NASA Exoplanet Archive convention)
# q               : planet-to-star mass ratio, M_p/M_star
# q_errup/errdn   : q uncertainty (planet-mass and stellar-mass errors propagated)
# af_Rp           : eccentricity-corrected separation a(1-e^2)/R_p, applied to all
#                   systems using the catalog eccentricity (missing e treated as 0)
# af_Rp_errup/errdn : af_Rp uncertainty (R_p, M_star, P errors propagated, scaled by 1-e^2)
# abs_lambda_deg  : sky-projected obliquity |lambda|, normalized to [0, 180] deg
# lambda_errup/errdn : |lambda| uncertainty (swapped when reflected into [0, 180])
# Teff_K          : host-star effective temperature [K]
# Teff_errup/errdn : Teff uncertainty [K]
# ecc             : orbital eccentricity (0 when not reported)
# ecc_errup/errdn : eccentricity uncertainty
# tau_e_Gyr       : eccentricity-damping timescale tau_e [Gyr] (Jackson et al. 2008),
#                   regime-dependent Q_p as in Fig 2: Q_p = 5e5 for q > 3e-4 (stellar
#                   tide added for q > 2e-3), Q_p = 5.4e3 for 5e-5 < q <= 3e-4,
#                   Q_p = 100 for q <= 5e-5
# tau_e_errup/errdn : tau_e uncertainty from a 20000-draw Monte-Carlo propagation of
#                   Mp, M*, Rp, R*, P and the tidal Q_p (log-normal, 0.3 dex ~ factor 2,
#                   matching Kawai+2025); 16th/84th percentiles. Age is not folded in
#                   here (this is absolute tau_e; age is a separate column).
# age_Gyr         : stellar age [Gyr] (catalog value; TRAPPIST-1 from Burgasser &
#                   Mamajek 2017); empty when unavailable
# age_errup/errdn : stellar age uncertainty [Gyr]
# binary          : Y = has stellar companion(s), excluded from the statistical
#                   tests (shown in figures only); N = single star
System,q,q_errup,q_errdn,af_Rp,af_Rp_errup,af_Rp_errdn,abs_lambda_deg,lambda_errup,lambda_errdn,Teff_K,Teff_errup,Teff_errdn,ecc,ecc_errup,ecc_errdn,tau_e_Gyr,tau_e_errup,tau_e_errdn,age_Gyr,age_errup,age_errdn,binary
MASCARA-4 b,6.493e-04,1.42e-04,1.41e-04,59.3,1.6,1.3,109.7,0.1,0.1,8750,730,580,0.14,0.11,0.09,1.844e-02,1.89e-02,9.68e-03,0.4,0.22,0.19,Y
NGTS-2 b,6.095e-04,1.49e-04,1.49e-04,80.9,1.7,1.8,9.7,6.8,6.9,6620,150,170,0.062,0.078,0.044,1.198e-01,1.22e-01,6.52e-02,1.71,0.76,0.59,N
Qatar-1 b,1.491e-03,7.45e-05,8.56e-05,45.2,0.8,0.7,7.0,11.0,11.0,4810,52,49,0.014,0.017,0.01,4.952e-03,4.92e-03,2.47e-03,7.5,4,4.2,Y
Qatar-4 b,5.656e-03,4.31e-04,3.78e-04,49.1,1.3,1.4,30.0,24.0,23.0,5144,76,76,0.058,0.068,0.041,3.651e-02,3.70e-02,1.84e-02,3.6,4.3,2.6,N
Qatar-6 b,8.559e-04,5.08e-05,5.11e-05,81.4,3.0,2.3,0.5,2.5,2.5,4912,67,65,0.04,0.029,0.025,1.336e-01,1.35e-01,6.84e-02,6,4.3,3.7,Y
Qatar-7 b,1.392e-03,2.21e-04,2.07e-04,48.5,1.2,1.2,6.0,18.0,17.0,6190,140,140,0.15,0.11,0.09,1.051e-02,1.07e-02,5.31e-03,2.7,1.7,1.5,N
TIC 241249530 b,3.979e-03,3.64e-04,3.24e-04,132.7,4.5,5.0,162.0,13.0,12.0,6170,140,130,0.942,0.001,0.001,1.829e+07,1.89e+07,9.12e+06,3.1,2.3,1.8,Y
TOI-1130 c,1.354e-03,6.52e-05,6.42e-05,101.0,20.2,13.5,4.0,5.0,6.0,4360,108,108,0.047,0.04,0.027,1.488e+00,2.53e+00,1.01e+00,8.2,3.8,4.9,N
TOI-1135 b,6.236e-05,3.87e-05,3.42e-05,194.9,5.0,4.3,53.0,8.2,9.2,5990,120,110,0.09,0.16,0.07,2.176e-01,2.55e-01,2.18e-01,5.9,3.1,2.8,N
TOI-1136 b,1.010e-05,2.32e-06,2.03e-06,648.4,71.8,51.4,5.0,5.0,5.0,5770,50,50,0.027,0.009,0.009,1.200e-02,1.43e-02,7.22e-03,0.7,0.9,0.4,N
TOI-1181 b,7.838e-04,3.39e-05,3.51e-05,54.1,0.7,0.7,4.0,4.0,4.0,6040,78,75,0.009,0.011,0.006,9.446e-03,9.51e-03,4.70e-03,3.19,0.52,0.52,N
TOI-1259 A b,5.327e-04,6.62e-05,7.24e-05,82.7,1.6,1.5,12.0,30.0,38.0,4699,63,58,0.025,0.03,0.018,8.918e-02,8.66e-02,4.57e-02,4.9,4.9,3.4,Y
TOI-1268 b,1.645e-04,2.86e-05,2.58e-05,199.1,3.8,3.4,7.0,18.0,20.0,5151,79,74,0.269,0.059,0.056,9.064e-01,9.11e-01,4.65e-01,6.5,4.7,4.2,N
TOI-1333 b,1.545e-03,1.77e-04,1.76e-04,95.3,4.2,4.1,5.0,10.0,10.0,6274,97,97,0.073,0.092,0.052,7.299e-01,7.49e-01,3.81e-01,2.33,0.71,0.56,Y
TOI-1386 b,1.327e-04,1.74e-05,1.71e-05,665.4,23.3,19.7,23.0,14.0,15.0,5793,76,73,0.061,0.056,0.042,6.766e+02,6.84e+02,3.48e+02,3.2,1.9,1.6,N
TOI-1431 b,1.568e-03,5.62e-05,5.46e-05,62.4,0.8,0.8,161.7,3.7,4.4,7383,78,71,0.018,0.005,0.005,4.871e-02,4.66e-02,2.44e-02,0.59,0.16,0.13,N
TOI-1478 b,8.317e-04,6.35e-05,6.28e-05,201.7,7.9,6.1,18.0,30.0,18.0,5648,80,80,0.057,0.033,0.034,3.558e+01,3.58e+01,1.83e+01,5.3,4,3.3,N
TOI-1518 b,9.759e-04,2.88e-04,2.88e-04,41.6,2.3,2.3,117.2,0.7,0.6,7300,100,100,0.01,0.0,0.0,2.875e-03,3.04e-03,1.59e-03,,,,N
TOI-1670 c,4.932e-04,8.68e-05,7.09e-05,569.5,11.3,10.7,2.1,2.5,2.7,6290,90,110,0.08,0.049,0.045,1.538e+04,1.56e+04,7.86e+03,1.3,1.6,0.9,N
TOI-1694 b,9.546e-05,1.10e-05,1.07e-05,200.2,4.4,3.9,37.0,22.0,29.0,4979,72,70,0.147,0.047,0.041,1.915e-01,1.94e-01,9.64e-02,8.2,4,4.9,N
TOI-1710 b,5.593e-05,1.50e-05,1.41e-05,734.8,23.6,23.6,179.0,19.0,19.0,5665,55,55,0.185,0.12,0.091,5.140e+02,4.59e+02,5.13e+02,2.8,0.6,0.6,Y
TOI-1759 b,9.070e-06,8.78e-06,6.26e-06,733.3,61.2,57.0,9.0,30.0,22.0,4005,56,58,0.16,0.42,0.13,1.021e-01,1.75e-01,8.09e-02,6.8,4.7,4.7,Y
TOI-181 b,1.865e-04,2.56e-05,2.48e-05,178.3,5.5,5.5,32.0,6.3,6.5,4820,80,80,0.0,0.0,0.0,2.258e-01,2.34e-01,1.16e-01,5.5,3.8,3.3,N
TOI-1823 b,2.406e-04,3.00e-05,3.05e-05,673.5,30.4,23.7,8.0,22.0,14.0,4927,58,58,0.0,0.0,0.0,1.921e+03,2.14e+03,1.01e+03,6.3,6.3,4.4,N
TOI-1836 b,6.765e-05,1.75e-05,1.70e-05,410.8,28.5,17.6,47.0,19.0,21.0,6260,140,130,0.199,0.077,0.073,2.932e+01,2.60e+01,2.31e+01,3.4,1.8,1,N
TOI-1842 b,1.357e-04,1.30e-05,1.31e-05,166.7,3.8,3.3,77.0,18.0,16.0,6000,100,100,0.202,0.051,0.051,3.061e-01,3.08e-01,1.55e-01,2.7,0.51,0.53,N
TOI-1859 b,4.496e-04,1.08e-04,1.07e-04,504.6,19.5,17.2,46.0,11.0,11.0,6300,120,120,0.566,0.056,0.061,7.968e+04,8.14e+04,4.91e+04,2.1,1.7,1.3,Y
TOI-1937 A b,1.669e-03,1.44e-04,1.28e-04,30.9,1.0,0.9,8.7,8.1,7.3,5920,170,170,0.022,0.022,0.015,5.494e-04,5.51e-04,2.83e-04,1.7,2.5,1.3,Y
TOI-2025 b,3.296e-03,1.83e-04,2.02e-04,126.7,3.8,3.8,30.0,20.0,31.0,5840,72,78,0.438,0.009,0.01,3.418e+01,3.51e+01,1.69e+01,7.1,1.6,1.7,N
TOI-2031 b,5.806e-04,1.59e-04,1.83e-04,111.0,2.4,2.6,5.0,12.0,13.0,6310,110,120,0.062,0.076,0.044,7.055e-01,7.04e-01,4.30e-01,3.3,2.3,1.7,Y
TOI-2046 b,1.849e-03,1.13e-04,1.10e-04,42.2,0.7,0.8,2.0,6.7,7.0,6058,90,84,0.018,0.02,0.013,4.595e-03,4.52e-03,2.28e-03,2.2,1.7,1.3,N
TOI-2109 b,3.383e-03,5.26e-04,5.25e-04,28.2,0.4,0.4,1.7,1.7,1.7,6750,120,100,0.082,0.082,0.055,5.136e-04,5.11e-04,2.63e-04,1.22,0.49,0.44,N
TOI-2119 b,1.217e-01,5.53e-03,5.53e-03,104.7,1.7,1.7,1.7,1.9,1.9,3712,36,35,0.336,0.001,0.001,2.431e+02,2.29e+02,1.20e+02,6.5,4.8,4.7,N
TOI-2145 b,3.119e-03,2.39e-04,2.12e-04,181.0,2.4,2.3,10.0,14.0,19.0,5990,110,110,0.23,0.03,0.029,9.542e+01,8.50e+01,4.62e+01,2.6,0.22,0.21,N
TOI-2202 b,1.026e-03,1.06e-04,1.21e-04,210.9,4.5,4.4,26.0,12.0,15.0,5144,50,50,0.022,0.022,0.015,6.329e+01,6.27e+01,3.21e+01,6.4,4.4,3.9,N
TOI-2364 b,2.163e-04,2.96e-05,3.14e-05,124.8,2.9,2.8,0.0,19.0,17.0,5232,67,71,0.036,0.049,0.026,3.934e-02,3.88e-02,2.04e-02,5.1,4.8,3.5,N
TOI-2374 b,2.115e-04,2.08e-05,2.21e-05,147.4,5.8,6.1,101.0,17.0,17.0,4833,69,69,0.149,0.07,0.063,1.055e-01,1.14e-01,5.35e-02,5.8,5,4,N
TOI-2485 b,1.767e-03,1.94e-04,2.07e-04,185.5,7.1,5.9,20.0,14.0,17.0,5850,100,110,0.045,0.029,0.025,5.456e+01,5.66e+01,2.73e+01,5.4,2,1.9,N
TOI-2533 b,6.845e-02,6.93e-03,4.89e-03,163.0,4.3,5.7,6.0,17.0,17.0,6300,130,130,0.231,0.004,0.004,4.247e+02,1.40e+02,1.55e+02,2.4,3.3,1.7,N
TOI-3362 b,2.030e-03,2.76e-04,2.51e-04,136.9,3.4,3.7,1.2,4.4,3.9,6810,230,190,0.738,0.015,0.017,1.113e+03,1.14e+03,5.60e+02,1.11,0.65,0.51,N
TOI-3714 b,1.176e-03,8.08e-05,7.16e-05,53.7,1.4,1.6,17.0,13.0,7.0,3597,54,53,0.059,0.029,0.03,1.431e-02,1.48e-02,7.11e-03,7.7,4.2,4.8,Y
TOI-3972 b,3.219e-03,1.79e-04,1.84e-04,170.7,3.6,3.1,29.0,32.0,36.0,5322,59,65,0.273,0.011,0.01,8.937e+01,8.81e+01,4.48e+01,6.3,4.1,3.4,N
TOI-4127 b,1.756e-03,1.06e-04,9.60e-05,262.2,5.4,5.9,11.0,29.0,26.0,6354,90,89,0.746,0.008,0.009,8.793e+04,8.77e+04,4.40e+04,1.6,1.4,1,N
TOI-4201 b,4.070e-03,1.97e-04,1.97e-04,75.9,1.5,1.6,4.5,7.5,7.4,3888,51,49,0.031,0.02,0.015,4.553e-01,4.55e-01,2.25e-01,7.1,4.6,4.7,N
TOI-421 b,2.472e-05,3.22e-06,3.08e-06,332.7,50.5,48.7,35.0,23.0,26.0,5391,80,79,0.129,0.097,0.073,1.409e-03,2.71e-03,8.85e-04,3.2,4.3,2.4,Y
TOI-421 c,5.214e-05,5.21e-06,5.11e-06,338.4,52.7,50.6,14.0,1.8,1.8,5391,80,79,0.407,0.03,0.027,1.364e+01,1.68e+01,1.36e+01,3.2,4.3,2.4,Y
TOI-4379 b,8.409e-04,9.41e-05,1.18e-04,52.8,2.5,2.1,5.0,29.0,31.0,5560,270,250,0.11,0.071,0.059,1.481e-02,1.57e-02,7.61e-03,10.4,2.3,3.1,N
TOI-4495 c,5.588e-05,1.08e-05,1.15e-05,375.4,21.9,14.7,2.3,7.8,8.3,6210,70,70,0.023,0.043,0.016,3.215e+00,2.64e+00,3.21e+00,1.9,0.5,0.7,N
TOI-4507 b,4.339e-05,6.20e-05,3.11e-05,1073.6,21.2,24.2,19.0,19.0,23.0,6170,170,150,0.29,0.31,0.24,2.485e+01,4.20e+04,1.96e+01,2.1,3.1,1.5,N
TOI-4515 b,2.098e-03,1.08e-04,1.04e-04,178.2,4.2,4.0,2.0,1.8,1.7,5418,70,68,0.457,0.007,0.007,2.300e+02,2.28e+02,1.15e+02,3.2,3.6,2.2,N
TOI-4641 b,3.028e-04,3.65e-04,2.17e-04,413.9,7.9,6.8,1.4,0.8,0.8,6890,120,100,0.0,0.0,0.0,1.005e+03,1.61e+03,9.81e+02,1.08,0.32,0.31,N
TOI-480 b,4.883e-05,1.04e-05,9.92e-06,645.1,30.3,23.6,6.0,13.0,13.0,6224,90,90,0.0,0.0,0.0,9.265e-02,8.50e+01,3.99e-02,2.7,0.6,0.5,N
TOI-5027 b,1.768e-03,1.45e-04,1.36e-04,171.2,6.8,6.4,3.4,3.5,3.5,6040,140,140,0.35,0.031,0.033,6.327e+01,6.43e+01,3.26e+01,2,2.9,1.4,N
TOI-5293 A b,1.037e-03,8.95e-05,8.15e-05,66.8,1.5,1.7,24.0,36.0,22.0,3644,60,57,0.046,0.049,0.032,5.042e-02,5.01e-02,2.52e-02,7.2,4.4,5,Y
TOI-5398 b,1.457e-04,4.12e-05,4.12e-05,178.6,4.3,4.1,8.8,7.9,4.9,5870,100,110,0.33,0.13,0.15,7.407e-01,7.54e-01,4.10e-01,5.3,3.8,3.3,N
TOI-558 b,2.552e-03,1.53e-04,1.46e-04,218.9,5.9,5.6,4.3,2.9,2.8,6530,100,100,0.295,0.02,0.018,3.638e+02,3.59e+02,1.83e+02,1.57,0.84,0.67,N
TOI-559 b,5.340e-03,3.99e-04,4.16e-04,129.1,3.2,2.9,11.0,19.0,26.0,6000,100,110,0.15,0.023,0.024,1.849e+01,1.84e+01,9.25e+00,8,2.7,2.5,N
TOI-6029 b,9.167e-04,1.23e-04,9.55e-05,110.7,2.6,3.6,30.2,8.6,7.9,5850,120,120,0.024,0.03,0.017,1.097e+00,1.11e+00,5.56e-01,2.8,1.2,0.6,N
TOI-622 b,2.214e-04,4.28e-05,4.39e-05,184.6,9.5,7.2,5.0,13.0,13.0,6460,170,150,0.056,0.052,0.038,4.584e-01,5.49e-01,2.49e-01,1,1.1,0.7,N
TOI-640 b,3.340e-04,1.85e-05,1.72e-05,71.9,2.4,2.3,172.0,7.0,10.0,6560,120,150,0.012,0.013,0.008,3.974e-02,4.04e-02,2.12e-02,1.66,0.4,0.33,N
TOI-677 b,1.110e-03,8.32e-05,7.63e-05,154.7,3.3,3.5,2.9,1.6,1.6,6350,180,160,0.454,0.023,0.022,4.333e+01,4.23e+01,2.21e+01,1.7,1.7,1.1,N
TOI-778 b,1.706e-03,1.70e-04,1.63e-04,89.9,1.2,1.3,15.0,11.0,10.0,6820,120,120,0.147,0.062,0.063,6.397e-01,6.49e-01,3.22e-01,0.79,0.49,0.38,N
TOI-813 b,4.957e-04,1.27e-03,3.55e-04,1420.8,111.4,68.5,49.0,24.0,38.0,6148,80,94,0.0,0.0,0.0,2.978e+06,8.58e+06,2.90e+06,3.16,0.83,0.64,N
TOI-837 b,3.116e-04,4.85e-05,5.11e-05,231.9,27.4,27.4,18.9,2.5,2.3,6000,60,60,0.0,0.0,0.0,2.150e+01,2.08e+01,1.98e+01,0.035,0.011,0.005,Y
TOI-858 B b,1.250e-03,2.76e-04,2.44e-04,72.4,2.9,2.6,99.3,3.8,3.7,5810,120,120,0.075,0.061,0.049,1.036e-01,1.06e-01,5.45e-02,6.3,3.3,2.5,Y
TOI-883 b,1.233e-04,9.19e-06,8.97e-06,294.9,7.4,7.4,22.0,15.0,14.0,5697,80,80,0.16,0.03,0.03,4.670e+00,4.60e+00,2.36e+00,6.5,2,2.1,N
TRAPPIST-1 b,3.183e-05,2.71e-05,2.71e-05,245.4,10.9,10.9,15.0,26.0,30.0,2566,26,26,0.006,0.003,0.003,1.060e-04,9.86e-02,9.30e-05,,,,N
TRAPPIST-1 f,2.547e-05,7.13e-06,7.13e-06,850.8,40.3,40.3,21.0,32.0,32.0,2566,26,26,0.01,0.001,0.001,2.588e-01,2.75e-01,1.43e-01,7.6,,,N
TrES-1 b,7.410e-04,3.76e-05,3.99e-05,73.8,1.2,1.1,27.0,22.0,32.0,5204,55,56,0.018,0.017,0.012,6.085e-02,6.02e-02,3.04e-02,6.6,4.2,3.7,Y
TrES-2 b,1.141e-03,4.75e-05,4.54e-05,65.7,0.8,0.9,10.0,15.0,10.0,5871,56,54,0.021,0.01,0.009,4.272e-02,4.33e-02,2.10e-02,1.7,1.8,1.2,Y
TrES-4 b,4.345e-04,8.98e-05,9.63e-05,58.3,0.8,0.8,10.2,3.6,3.6,6240,120,120,0.09,0.089,0.057,1.336e-02,1.31e-02,8.19e-03,3.09,0.62,0.5,Y
V1298 Tau b,5.222e-04,1.57e-04,1.57e-04,417.0,27.8,27.8,4.0,7.0,10.0,5050,100,100,0.134,0.075,0.075,2.153e+03,2.58e+03,1.39e+03,0.02,0.01,0.01,Y
WASP-100 b,1.247e-03,7.66e-05,7.75e-05,64.9,0.9,0.9,84.0,13.0,12.0,6620,110,110,0.029,0.029,0.02,5.082e-02,4.94e-02,2.54e-02,1.81,0.48,0.4,Y
WASP-101 b,4.374e-04,4.92e-05,4.44e-05,73.4,1.5,1.5,34.3,2.0,1.9,6180,110,110,0.074,0.052,0.048,4.260e-02,4.07e-02,2.14e-02,2.4,1.9,1.4,N
WASP-103 b,1.102e-03,6.37e-05,6.45e-05,26.5,0.5,0.5,13.0,12.0,15.0,6132,96,97,0.052,0.028,0.029,1.680e-04,1.66e-04,8.25e-05,2.4,1.2,0.9,N
WASP-105 b,1.641e-03,1.01e-04,1.06e-04,147.9,3.4,3.3,14.0,23.0,24.0,5257,75,72,0.013,0.015,0.009,1.133e+01,1.12e+01,5.72e+00,6.2,3.9,3.6,N
WASP-106 b,1.498e-03,9.53e-05,8.71e-05,171.8,4.0,4.3,2.9,9.7,9.6,6072,73,73,0.055,0.018,0.017,2.613e+01,2.58e+01,1.32e+01,3.9,1.4,1.1,N
WASP-107 b,1.436e-04,7.61e-06,8.00e-06,117.6,1.9,1.8,161.0,39.0,34.0,4207,55,54,0.067,0.025,0.025,2.810e-02,2.74e-02,1.40e-02,10.8,2.3,4.1,N
WASP-109 b,7.221e-04,1.16e-04,1.16e-04,68.7,3.0,3.0,99.0,10.0,9.0,6520,140,140,0.0,0.0,0.0,4.529e-02,4.75e-02,2.36e-02,2.6,0.9,0.9,N
WASP-11 b,6.184e-04,3.39e-05,3.69e-05,94.4,1.5,1.3,13.0,27.0,35.0,4894,57,59,0.034,0.019,0.018,2.151e-01,2.04e-01,1.09e-01,6.8,4.2,4.1,Y
WASP-111 b,1.162e-03,6.79e-05,6.96e-05,56.3,0.7,0.6,13.0,11.0,11.0,6322,91,95,0.024,0.024,0.016,1.892e-02,1.92e-02,9.30e-03,0.0133,0.0012,0.0016,Y
WASP-117 b,2.267e-04,1.49e-05,1.48e-05,183.3,3.5,3.5,43.3,7.2,7.1,6115,81,73,0.267,0.018,0.019,1.010e+00,1.00e+00,5.07e-01,3,1.9,1.5,N
WASP-12 b,1.008e-03,5.05e-05,4.97e-05,27.4,0.4,0.5,39.0,13.0,15.0,6168,74,74,0.051,0.01,0.01,2.123e-04,2.09e-04,1.06e-04,2.98,0.96,0.82,Y
WASP-120 b,3.549e-03,2.05e-04,2.03e-04,90.8,1.7,1.6,4.4,4.9,4.8,6425,95,94,0.053,0.014,0.013,9.850e-01,9.42e-01,4.97e-01,1.94,0.65,0.55,N
WASP-121 b,6.879e-04,3.18e-05,3.10e-05,28.7,0.4,0.4,87.7,0.9,1.0,6560,140,120,0.067,0.036,0.035,2.152e-04,2.11e-04,1.05e-04,0.63,0.7,0.42,N
WASP-127 b,1.386e-04,2.87e-05,3.01e-05,79.2,2.3,1.8,171.0,33.0,30.0,5830,110,100,0.046,0.052,0.033,2.709e-03,2.73e-03,1.42e-03,8.8,2.6,2.5,Y
WASP-129 b,9.644e-04,6.94e-05,6.45e-05,112.1,1.7,2.0,7.5,6.4,6.5,6150,120,150,0.177,0.028,0.027,1.423e+00,1.38e+00,7.16e-01,1.7,2,1.2,Y
WASP-13 b,3.797e-04,1.84e-05,2.05e-05,83.9,1.8,1.7,13.0,13.0,13.0,5959,86,80,0.012,0.014,0.008,8.515e-02,8.86e-02,4.26e-02,4.2,0.83,0.94,N
WASP-130 b,1.017e-03,6.83e-05,6.09e-05,218.5,4.1,4.5,5.1,2.5,2.4,5710,130,120,0.013,0.016,0.009,7.251e+01,7.01e+01,3.67e+01,2.9,3.2,1.9,Y
WASP-131 b,2.426e-04,2.78e-05,2.15e-05,107.1,2.4,3.4,161.3,4.8,4.9,6070,110,110,0.031,0.031,0.021,2.717e-02,3.11e-02,1.35e-02,4.2,2.2,1,Y
WASP-134 b,1.094e-03,1.12e-04,1.14e-04,207.1,5.0,4.8,14.0,19.0,21.0,5690,110,110,0.164,0.048,0.045,6.001e+01,6.07e+01,3.03e+01,6.4,3.7,3.3,N
WASP-136 b,9.746e-04,8.16e-05,7.99e-05,109.0,1.8,1.9,39.0,13.0,17.0,6360,100,100,0.042,0.035,0.028,9.740e-01,9.37e-01,4.88e-01,2.06,0.54,0.44,Y
WASP-139 b,1.235e-04,2.27e-05,2.17e-05,151.3,3.6,3.0,84.6,5.5,7.6,5173,73,74,0.122,0.076,0.071,9.274e-02,9.34e-02,4.87e-02,5.3,5.1,3.7,Y
WASP-14 b,5.227e-03,2.13e-04,1.95e-04,62.3,1.1,1.1,45.2,7.1,7.4,6619,97,91,0.082,0.003,0.002,1.403e-01,1.38e-01,6.96e-02,0.36,0.66,0.26,Y
WASP-140 b,2.601e-03,1.17e-04,1.15e-04,59.5,1.4,1.1,2.3,2.0,2.0,5440,110,110,0.045,0.005,0.005,5.435e-02,5.41e-02,2.71e-02,2.9,3.2,2,Y
WASP-148 b,2.768e-04,3.62e-05,3.62e-05,236.0,20.6,20.6,2.0,8.0,8.0,5437,21,21,0.22,0.063,0.063,3.393e+00,2.21e+01,1.62e+00,3.6,4,2.7,N
WASP-15 b,4.484e-04,3.64e-05,3.27e-05,81.7,1.5,1.8,138.1,5.5,5.4,6291,98,89,0.021,0.023,0.014,7.585e-02,7.36e-02,3.81e-02,3.3,1.5,1.1,N
WASP-156 b,1.513e-04,1.38e-05,1.53e-05,176.9,4.4,3.9,106.0,14.0,14.0,4940,69,68,0.084,0.043,0.045,1.546e-01,1.52e-01,7.91e-02,7.4,4.3,4.6,N
WASP-16 b,8.292e-04,5.07e-05,5.25e-05,72.8,2.2,1.8,4.2,4.9,4.5,5696,76,75,0.011,0.012,0.008,6.558e-02,6.54e-02,3.32e-02,7.2,3,2.7,N
WASP-162 b,4.500e-03,2.56e-04,2.77e-04,156.2,3.4,3.1,4.0,36.0,36.0,5513,71,73,0.435,0.005,0.005,1.418e+02,1.44e+02,7.01e+01,8.6,2.8,2.7,N
WASP-166 b,7.287e-05,9.09e-06,8.29e-06,209.3,5.2,5.4,2.0,4.4,3.7,5990,100,100,0.099,0.057,0.055,2.483e-01,2.46e-01,1.27e-01,3.3,2.7,2,N
WASP-17 b,3.545e-04,3.29e-05,3.20e-05,59.4,0.9,1.0,146.5,6.6,5.8,6580,120,110,0.031,0.033,0.022,1.215e-02,1.17e-02,6.75e-03,1.78,0.79,0.63,N
WASP-172 b,2.994e-04,6.74e-05,6.74e-05,85.4,1.2,1.2,113.9,4.8,4.9,7390,200,210,0.063,0.071,0.044,1.125e-02,1.39e-01,4.58e-03,1.04,0.22,0.18,N
WASP-173 A b,3.209e-03,2.00e-04,2.07e-04,46.5,0.9,0.9,9.9,7.4,7.0,5727,68,72,0.018,0.027,0.013,1.198e-02,1.19e-02,6.00e-03,4.6,3.2,2.6,Y
WASP-174 b,2.578e-04,7.26e-05,7.24e-05,80.0,4.3,3.1,29.9,9.2,6.0,6420,150,160,0.1,0.1,0.07,5.594e-03,4.79e-02,3.04e-03,1,1.3,0.7,N
WASP-178 b,7.773e-04,7.56e-05,7.94e-05,66.0,1.2,1.2,105.7,3.6,4.2,9260,480,420,0.035,0.035,0.024,4.053e-02,3.95e-02,2.04e-02,0.13,0.12,0.08,N
WASP-18 b,8.030e-03,2.94e-04,2.69e-04,37.4,0.4,0.5,0.9,2.7,2.8,6366,55,55,0.011,0.002,0.002,6.806e-03,6.63e-03,3.41e-03,0.74,0.79,0.5,Y
WASP-180 A b,8.418e-04,3.07e-04,2.57e-04,68.1,1.2,1.5,162.2,6.8,6.7,6240,120,120,0.17,0.25,0.13,6.033e-02,6.46e-02,3.37e-02,2.1,2.4,1.4,Y
WASP-186 b,3.754e-03,1.99e-04,1.93e-04,107.2,2.0,1.9,10.0,14.0,14.0,6423,94,95,0.329,0.008,0.007,5.826e+00,5.56e+00,2.92e+00,1.11,0.85,0.63,N
WASP-189 b,9.358e-04,8.12e-05,7.25e-05,63.9,1.1,1.1,90.1,0.2,0.2,8000,80,80,0.0,0.0,0.0,3.354e-02,3.30e-02,1.66e-02,0.73,0.13,0.13,Y
WASP-19 b,1.076e-03,6.48e-05,6.11e-05,26.1,0.5,0.5,4.0,1.2,1.6,5670,160,150,0.04,0.012,0.011,1.286e-04,1.28e-04,6.40e-05,3.9,3.3,2.4,N
WASP-190 b,5.938e-04,2.08e-04,2.72e-04,93.2,2.2,2.3,19.6,5.8,5.7,6510,120,120,0.08,0.12,0.06,2.867e-01,2.97e-01,2.20e-01,1.65,0.73,0.61,N
WASP-193 b,1.035e-04,2.74e-05,2.79e-05,104.3,3.4,3.1,22.0,19.0,23.0,6240,130,120,0.072,0.075,0.049,1.217e-02,1.21e-02,7.05e-03,2.2,3.1,1.6,Y
WASP-20 b,2.504e-04,2.68e-05,2.68e-05,94.4,2.8,2.7,13.6,5.2,4.9,5980,160,160,0.03,0.035,0.021,1.375e-02,1.77e-02,6.70e-03,4.7,3,2.2,Y
WASP-21 b,3.214e-04,2.97e-05,3.12e-05,89.7,2.6,2.4,7.0,18.0,18.0,6060,160,140,0.048,0.027,0.027,1.007e-01,7.67e-02,8.45e-02,6,3.1,2.6,N
WASP-22 b,4.990e-04,4.26e-05,4.13e-05,85.5,1.6,1.6,23.0,21.0,35.0,5946,82,87,0.04,0.044,0.029,1.004e-01,9.77e-02,5.00e-02,3.7,2.3,1.9,N
WASP-23 b,9.151e-04,4.41e-05,4.46e-05,71.6,1.1,1.1,19.0,22.0,26.0,5241,84,79,0.017,0.018,0.012,6.277e-02,6.25e-02,3.10e-02,4.3,4.1,2.9,N
WASP-24 b,9.269e-04,5.60e-05,5.57e-05,57.9,1.1,1.1,3.7,4.5,4.6,6206,81,81,0.027,0.013,0.014,1.746e-02,1.77e-02,8.64e-03,3.3,1.4,1.2,Y
WASP-25 b,5.814e-04,3.60e-05,3.31e-05,80.5,1.3,1.5,19.3,9.7,9.1,5690,85,84,0.019,0.023,0.013,9.189e-02,9.17e-02,4.52e-02,2.4,3.1,1.7,N
WASP-26 b,8.611e-04,4.87e-05,4.84e-05,71.9,1.5,1.5,0.4,8.5,9.5,5960,69,69,0.006,0.007,0.004,5.633e-02,5.57e-02,2.80e-02,4.1,1.8,1.6,Y
WASP-28 b,7.859e-04,6.23e-05,6.00e-05,76.7,1.5,1.6,8.0,19.0,20.0,6110,120,110,0.037,0.034,0.025,8.836e-02,8.96e-02,4.40e-02,3.3,2.7,2,N
