# System          : planet name (NASA Exoplanet Archive convention)
# q               : planet-to-star mass ratio, M_p/M_star
# q_errup/errdn   : q uncertainty (planet-mass and stellar-mass errors propagated)
# af_Rp           : eccentricity-corrected separation a(1-e^2)/R_p, applied to all
#                   systems using the catalog eccentricity (missing e treated as 0)
# af_Rp_errup/errdn : af_Rp uncertainty (R_p, M_star, P errors propagated, scaled by 1-e^2)
# abs_lambda_deg  : sky-projected obliquity |lambda|, normalized to [0, 180] deg
# lambda_errup/errdn : |lambda| uncertainty (swapped when reflected into [0, 180])
# Teff_K          : host-star effective temperature [K]
# Teff_errup/errdn : Teff uncertainty [K]
# ecc             : orbital eccentricity (0 when not reported)
# ecc_errup/errdn : eccentricity uncertainty
# tau_e_Gyr       : eccentricity-damping timescale tau_e [Gyr] (Jackson et al. 2008),
#                   regime-dependent Q_p as in Fig 2: Q_p = 5e5 for q > 3e-4 (stellar
#                   tide added for q > 2e-3), Q_p = 5.4e3 for 5e-5 < q <= 3e-4,
#                   Q_p = 100 for q <= 5e-5
# tau_e_errup/errdn : tau_e uncertainty from a 20000-draw Monte-Carlo propagation of
#                   Mp, M*, Rp, R*, P and the tidal Q_p (log-normal, 0.3 dex ~ factor 2,
#                   matching Kawai+2025); 16th/84th percentiles. Age is not folded in
#                   here (this is absolute tau_e; age is a separate column).
# age_Gyr         : stellar age [Gyr] (catalog value; TRAPPIST-1 from Burgasser &
#                   Mamajek 2017); empty when unavailable
# age_errup/errdn : stellar age uncertainty [Gyr]
# binary          : Y = has stellar companion(s), excluded from the statistical
#                   tests (shown in figures only); N = single star
System,q,q_errup,q_errdn,af_Rp,af_Rp_errup,af_Rp_errdn,abs_lambda_deg,lambda_errup,lambda_errdn,Teff_K,Teff_errup,Teff_errdn,ecc,ecc_errup,ecc_errdn,tau_e_Gyr,tau_e_errup,tau_e_errdn,age_Gyr,age_errup,age_errdn,binary
HAT-P-18 b,2.155e-04,1.08e-05,1.09e-05,119.6,3.0,2.9,172.0,27.0,23.0,4816,61,61,0.02,0.018,0.013,4.324e-02,4.32e-02,2.18e-02,4,4.8,2.8,Y
HAT-P-2 b,6.215e-03,2.67e-04,2.63e-04,101.7,1.4,1.4,3.3,1.7,1.6,6521,68,62,0.51,0.005,0.005,2.084e+01,1.94e+01,1.04e+01,1.56,0.54,0.46,N
HAT-P-20 b,9.552e-03,3.57e-04,3.83e-04,79.8,1.1,1.1,4.0,5.5,5.1,4498,40,40,0.016,0.002,0.002,1.096e+00,1.05e+00,5.42e-01,6.6,4.5,4.2,Y
HAT-P-21 b,3.999e-03,2.55e-04,2.93e-04,90.9,2.8,2.3,7.4,7.0,6.0,5678,86,81,0.233,0.015,0.015,1.671e+00,1.60e+00,8.49e-01,8.6,2.8,2.9,N
HAT-P-22 b,1.981e-03,2.62e-04,2.61e-04,85.8,1.8,1.3,0.0,6.0,6.0,5344,80,78,0.05,0.048,0.035,3.710e-01,3.77e-01,1.90e-01,8.8,3.2,3.5,Y
HAT-P-23 b,1.800e-03,1.25e-04,1.25e-04,38.4,0.8,0.8,8.0,21.0,26.0,5830,87,85,0.084,0.024,0.024,2.328e-03,2.30e-03,1.18e-03,5.1,2.9,2.5,N
HAT-P-24 b,5.525e-04,4.22e-05,4.19e-05,73.6,1.9,1.6,9.0,9.7,8.6,6340,100,100,0.053,0.026,0.026,5.008e-02,4.79e-02,2.55e-02,2.7,1.3,1.2,Y
HAT-P-29 b,6.078e-04,6.23e-05,5.37e-05,134.4,2.3,2.5,13.0,13.0,14.0,6050,120,120,0.086,0.048,0.046,1.957e+00,1.96e+00,9.86e-01,1.9,2.1,1.3,Y
HAT-P-3 b,6.414e-04,3.11e-05,3.06e-05,88.5,1.4,1.4,19.5,6.7,7.5,5090,49,49,0.007,0.009,0.005,1.252e-01,1.23e-01,6.29e-02,5.1,4.2,3.1,Y
HAT-P-30 b,5.420e-04,3.22e-05,3.22e-05,60.5,2.5,2.1,77.0,11.0,10.0,6263,74,73,0.01,0.01,0.007,1.526e-02,1.59e-02,7.84e-03,2,1.6,1.3,Y
HAT-P-32 b,5.587e-04,1.06e-04,1.05e-04,39.6,0.6,0.7,86.3,1.3,1.6,6410,120,120,0.046,0.054,0.033,1.455e-03,1.43e-03,7.63e-04,1.6,1.6,1,Y
HAT-P-33 b,3.763e-04,1.01e-04,1.01e-04,67.0,0.8,0.9,5.9,4.1,4.1,6800,170,180,0.117,0.081,0.068,2.342e-02,2.22e-02,2.07e-02,0.017,0.061,0.003,Y
HAT-P-34 b,2.245e-03,1.53e-04,1.44e-04,91.1,1.5,1.5,8.0,12.0,16.0,6528,92,80,0.462,0.023,0.025,3.152e+00,3.11e+00,1.56e+00,1.57,0.82,0.67,N
HAT-P-36 b,1.839e-03,1.33e-04,1.31e-04,41.6,0.8,0.8,19.0,26.0,38.0,5571,67,70,0.031,0.029,0.021,3.761e-03,3.72e-03,1.86e-03,5.3,3.6,3,N
HAT-P-4 b,4.532e-04,3.83e-05,4.03e-05,73.3,1.2,1.1,6.0,16.0,18.0,5990,110,90,0.036,0.035,0.025,3.658e-02,3.63e-02,1.83e-02,3.4,1.1,1.1,Y
HAT-P-41 b,8.178e-04,7.97e-05,8.02e-05,46.7,0.7,0.7,9.4,7.8,8.0,6170,130,120,0.189,0.049,0.05,7.276e-03,7.22e-03,3.66e-03,5.6,1.1,1,Y
HAT-P-49 b,1.042e-03,1.55e-04,1.44e-04,61.2,0.8,0.8,97.7,1.8,1.8,6810,110,120,0.052,0.057,0.037,3.025e-02,3.11e-02,1.54e-02,1.09,0.34,0.27,N
HAT-P-57 b,2.512e-04,3.46e-04,1.82e-04,55.4,1.4,1.1,7.0,13.0,13.0,7230,200,140,0.0,0.0,0.0,4.799e-04,1.06e-02,3.96e-04,0.39,0.41,0.25,Y
HAT-P-6 b,7.532e-04,5.08e-05,4.63e-05,76.7,2.1,1.9,178.3,3.4,3.4,6710,120,130,0.048,0.029,0.028,9.617e-02,9.60e-02,4.84e-02,1.61,0.67,0.48,N
