System,TIC_ID,pl_mass,pl_mass_err1,pl_mass_err2,star_mass,star_mass_err1,star_mass_err2,Teff,errup,errdn,lambda,errup.1,errdn.1,Ephemeris_reference
Kepler-008,TIC 123233041,0.59,0.13,-0.12,1.21,0.07,-0.06,6213,150,150,5.0,7.0,7.0,2012ApJ...757...18A
TRAPPIST-1f,TIC 278892590,0.00327,0.0001,-0.0001,0.09,0.0,0.0,2566,26,26,21.0,32.0,32.0,2020ApJ...890L..27H
TRAPPIST-1b,TIC 278892590,0.00432,0.00022,-0.00022,0.09,0.09,0.09,2566,26,26,15.0,26.0,30.0,2020ApJ...890L..27H
MASCARA-1,TIC 354619337,3.7,0.9,-0.9,1.9,0.06,-0.07,7554,150,150,69.5,3.0,3.0,2017A+A...606A..73T
Qatar-2,TIC 2521105,2.494,0.054,-0.054,0.74,0.02,-0.02,4645,50,50,15.0,20.0,20.0,2017A+A...601A..53E
TOI-559,TIC 209459275,6.01,0.24,-0.23,1.03,0.06,-0.06,5925,85,76,10.0,12.0,14.0,2024ApJ...973L..21W
TOI-640,TIC 147977348,0.88,0.16,-0.16,1.54,0.07,-0.08,6460,130,150,184.0,3.0,3.0,2023A+A...671A.164K
TOI-677,TIC 280206394,1.236,0.069,-0.067,1.18,0.06,-0.06,6295,80,80,3.2,1.6,1.5,2024AJ....167..175H
TOI-778,TIC 335630746,2.8,0.2,-0.2,1.4,0.05,-0.05,6643,150,150,18.0,11.0,11.0,2023AJ....165..207C
HD 148193,TIC 207468071,0.092,0.015,0.015,1.25,0.02,-0.04,6198,100,100,14.0,7.0,8.0,2024A%26A...690A.379K
TOI-1181,TIC 229510866,1.179,0.023,-0.023,1.47,0.02,-0.02,5990,95,95,-2.0,16.0,15.0,2024AJ....168...81S
TOI-1268,TIC 142394656,0.30331,0.0258,-0.02611,0.96,0.04,-0.04,5257,40,40,14.0,14.0,10.0,2022ApJ...926L...7D
TOI-1431,TIC 375506058,3.12,0.18,-0.18,1.9,0.1,-0.08,7690,400,250,-155.0,20.0,10.0,2021A+A...654A..73S
TOI-1670c,TIC 441739020,0.63,0.09,-0.08,1.21,0.02,-0.02,6170,61,61,-0.3,2.2,2.2,2023ApJ...959L...1H
Kepler-009b,TIC 120571842,0.13655,0.00503,-0.00629,1.02,0.03,-0.04,5774,60,60,-13.0,16.0,16.0,2018AJ....155...70W
TOI-2025,TIC 394050135,3.6,0.33,-0.33,1.2,0.07,-0.09,5880,53,53,-10.0,7.0,10.0,2024ApJ...973L..21W
TRAPPIST-1e,TIC 278892590,0.00218,7e-05,-7e-05,0.09,0.0023,0.0023,2566,26,26,9.0,45.0,51.0,2020ApJ...890L..27H
TOI-2109,TIC 392476080,5.02,0.75,-0.75,1.45,0.07,-0.07,6530,160,150,1.7,1.7,1.7,2021AJ....162..256W
TOI-2485,TIC 328934463,2.412,0.088,-0.087,1.16,0.05,-0.05,5939,85,85,-20.0,26.0,21.0,2024ApJ...973L..21W
TOI-2524,TIC 169249234,0.64,0.04,-0.04,1.01,0.03,-0.03,5831,80,80,10.0,19.0,22.0,2024ApJ...973L..21W
TOI-2533,TIC 418012030,74.9,5.3,5.3,1.02,0.06,0.07,6180,60,60,-7.0,14.0,14.0,2024AJ....168..145F
TOI-3362,TIC 464300749,5.029,0.668,-0.646,1.45,0.07,-0.07,6800,100,100,1.2,2.8,2.7,2023ApJ...958L..20E
HD_063433b,TIC 130181866,0.11736,0.0302,-0.0302,0.99,0.02,-0.03,5700,76,75,8.0,33.0,45.0,2020AJ....160..179M
TOI-3972,TIC 284206913,3.67,0.23,0.23,0.927,0.047,0.037,5424,95,90,-12.1,8.5,8.5,2024ApJ...973L..21W
TOI-4201,TIC 95057860,2.48,0.09,-0.09,0.61,0.02,-0.02,3937,70,70,-3.0,3.7,3.2,2024ApJ...969L..24G
TOI-4379,TIC 97766057,1.113,0.071,-0.071,1.37,0.04,-0.11,6020,100,100,-1.0,22.0,29.0,2024AJ....168...81S
HD_003167b,TIC 318707987,0.01564,0.00076,-0.00072,0.84,0.05,-0.04,5300,73,73,-6.6,6.6,7.9,2021A+A...654A.152B
TOI-6029,TIC 419523962,1.635,0.032,-0.032,1.55,0.03,-0.09,6223,100,100,-14.0,17.0,13.0,2024AJ....168...81S
AU_Mic_b,TIC 441420236,0.0633,0.00494,-0.00541,0.51,0.03,-0.03,3540,120,110,5.0,16.0,15.0,2021AJ....162..137A
TOI-1136d,TIC 142276270,0.01101,0.00252,-0.0022,1.02,0.03,-0.03,5770,50,50,5.0,5.0,5.0,2023AJ....165...33D
WASP-004,TIC 402026209,1.186,0.09,-0.098,0.86,0.08,-0.09,5540,55,55,4.0,34.0,43.0,2010A+A...524A..25T
WASP-005,TIC 184240683,1.58,0.13,-0.1,0.96,0.13,-0.09,5770,65,65,12.1,8.0,10.0,2010A+A...524A..25T
WASP-006,TIC 204376737,0.37,0.08,-0.08,0.55,0.17,-0.17,5375,65,65,-11.0,18.0,14.0,2009A+A...501..785G
WASP-007,TIC 389352124,0.96,0.13,-0.13,1.28,0.07,-0.07,6520,70,70,86.0,6.0,6.0,2012ApJ...744..189A
WASP-013,TIC 8767448,0.36,0.09,-0.09,0.72,0.25,-0.25,6025,21,21,8.0,13.0,12.0,2014MNRAS.440.3392B
WASP-015,TIC 111991770,0.54,0.29,-0.29,1.18,0.93,-0.93,6573,70,70,-139.6,4.3,5.2,2010A+A...524A..25T
WASP-016,TIC 46096489,1.24,0.25,-0.25,1.78,0.54,-0.54,5630,70,70,11.0,26.0,19.0,2012ApJ...757...18A
WASP-017,TIC 66818296,0.78,0.23,-0.23,2.28,0.99,-0.99,6550,100,100,-148.7,7.7,6.7,2011MNRAS.416.2108A
WASP-019,TIC 35516889,1.154,0.078,-0.08,0.97,0.09,-0.1,5460,90,90,-1.9,1.1,1.1,2021MNRAS.505..435S
WASP-021,TIC 436478932,0.3,0.011,-0.011,1.01,0.03,-0.03,5924,55,55,8.0,26.0,27.0,2020A+A...642A..54C
WASP-022,TIC 257567854,0.67,0.19,-0.19,1.46,0.63,-0.63,6153,46,46,22.0,16.0,16.0,2011A+A...534A..16A
WASP-025,TIC 229047362,0.44,0.1,-0.1,0.67,0.22,-0.22,5736,35,35,14.6,6.7,6.7,2012MNRAS.423.1503B
WASP-028,TIC 398572544,0.889,0.058,-0.058,0.99,0.07,-0.07,6084,45,45,8.0,18.0,18.0,2015A+A...575A..61A
WASP-030,TIC 9725627,60.96,0.89,0.89,1.249,0.032,0.025,6208,85,85,-7.0,27.0,19.0,2013A+A...549A..18T
WASP-031,TIC 437248515,0.478,0.029,-0.029,1.16,0.03,0.03,6175,70,70,-6.0,6.0,6.0,2012ApJ...757...18A
WASP-038,TIC 318696424,3.44,0.36,-0.36,1.76,0.28,-0.28,6436,60,60,7.5,4.7,6.1,2012ApJ...760..139B
HD_191939b,TIC 269701147,0.03146,0.0022,-0.0022,0.81,0.04,-0.04,5427,50,50,3.7,5.0,5.0,arXiv:2409.06795
WASP-041,TIC 398943781,0.85,0.11,-0.11,0.81,0.15,-0.15,5546,33,33,29.0,10.0,14.0,2016A+A...586A..93N
WASP-043,TIC 36734222,1.78,0.1,-0.1,0.58,0.05,0.05,4240,30,20,3.5,6.8,6.8,2017A+A...601A..53E
WASP-047b,TIC 102264230,1.17674,0.05349,-0.05034,1.06,0.05,-0.05,5576,67,67,0.0,24.0,24.0,2015ApJ...812L..11S
WASP-052,TIC 427685831,0.46,0.02,-0.02,0.87,0.03,-0.03,5000,100,100,1.1,1.1,1.1,2020A+A...635A.171C
WASP-053,TIC 268766053,2.132,0.092,-0.094,0.84,0.05,-0.05,4950,60,60,-1.0,12.0,12.0,2017MNRAS.467.1714T
WASP-060,TIC 288246496,0.55,0.19,-0.19,1.19,0.61,-0.61,6105,50,50,-129.0,17.0,17.0,2018A+A...613A..41M
WASP-061,TIC 13021029,2.68,0.84,-0.84,1.82,0.85,-0.85,6250,150,150,4.0,17.1,18.4,2017MNRAS.464..810B
WASP-062,TIC 149603524,0.52,0.08,-0.08,1.11,0.25,-0.25,6230,80,80,19.4,5.1,4.9,2017MNRAS.464..810B
WASP-066,TIC 53735810,2.35,0.98,-0.98,1.33,0.83,-0.83,6600,150,150,-4.0,22.0,22.0,2016ApJ...823...29A
K2-025b,TIC 434226736,0.07709,0.01793,-0.01636,0.26,0.01,-0.01,3207,58,58,3.0,16.0,16.0,2020AJ....160..192S
WASP-071,TIC 422655579,1.39,0.33,-0.33,0.76,0.27,-0.27,6180,52,52,-1.9,7.1,7.5,2017MNRAS.464..810B
WASP-074,TIC 244089109,0.72,0.12,-0.12,0.98,0.24,-0.24,5984,57,57,0.77,0.99,0.99,2020A+A...642A..50L
