name,instru_official,telescope,ref_paper,n
TOI-4127,SOPHIE,OHP 1.93-m,2023AJ....165..234G,19
TOI-4127,HARPS-N_RM,TNG 3.6-m,Mireles+2025,15
TOI-4201,SPIRou,CFHT 3.6-m,2024ApJ...962L..22D,27
TOI-4201,NEID,WIYN 3.5-m,2024ApJ...962L..22D,3
TOI-4201,PFS,Magellan 6.5-m,2024ApJ...962L..22D,17
TOI-4201,MAROONXRed_RM,Gemini-N 8.1-m,2024ApJ...962L..22D,19
TOI-421,FIES,NOT 2.56-m,2020AJ....160..114C,9
TOI-421,HARPS,ESO La Silla 3.6-m,2020AJ....160..114C,105
TOI-421,PFS,Magellan 6.5-m,2020AJ....160..114C,9
TOI-421,HIRES,Keck I 10-m,2020AJ....160..114C,33
TOI-4379,HIRES,Keck I 10-m,2024AJ....168...81S,12
TOI-4379,KPF_RM,Keck I 10-m,2024AJ....168...81S,30
TOI-4507,FEROS,ESO/MPG 2.2-m,2026ApJ...996L..13E,11
TOI-4507,HARPS,ESO La Silla 3.6-m,2026ApJ...996L..13E,31
TOI-4507,CORALIE,Euler 1.2-m,2026ApJ...996L..13E,10
TOI-4507,HARPS_RM,ESO La Silla 3.6-m,2026ApJ...996L..13E,20
TOI-4515,TRES,FLWO 1.5-m,2024A&A...682A.135C,18
TOI-4515,FEROS,ESO/MPG 2.2-m,2024A&A...682A.135C,5
TOI-4515,HARPS-N,TNG 3.6-m,2024A&A...682A.135C,26
TOI-4515,ESPRESSO_RM,ESO VLT 8.2-m,2025AJ....170...70E,23
TOI-4641,TRES,FLWO 1.5-m,2024MNRAS.52710955B,15
TOI-5027,FEROS,ESO/MPG 2.2-m,2025A&A...694A.268T,27
TOI-5027,ESPRESSO_RM,ESO VLT 8.2-m,2025AJ....170...70E,32
TOI-5126,NEID_RM,WIYN 3.5-m,2024AJ....168..116R,20
TOI-5293 A,HPF,HET 10-m,2023AJ....166...30C,16
TOI-5293 A,MAROONX_Com_RM,Gemini-N 8.1-m,2025AJ....170..313W,12
TOI-5293 A,MAROONX_Com1_RM,Gemini-N 8.1-m,2025AJ....170..313W,17
TOI-5398,HARPSN,TNG 3.6-m,2024A&A...684L..17M,86
TOI-5398,NEID,WIYN 3.5-m,2024AJ....168..116R,14
TOI-5398,HARPSN_RM,TNG 3.6-m,2024A&A...684L..17M,47
TOI-5398,NEID_RM,WIYN 3.5-m,2024AJ....168..116R,14
TOI-558,PFS,Magellan 6.5-m,2022AJ....163....9I,14
TOI-558,ESPRESSOEXTRACTED_RM,ESO VLT 8.2-m,2022AJ....163....9I,34
TOI-559,CHIRON,SMARTS 1.5-m,2022AJ....163....9I,23
TOI-559,TRES,FLWO 1.5-m,2022AJ....163....9I,3
TOI-559,NEID_RM,WIYN 3.5-m,2022AJ....163....9I,15
TOI-6029,HIRES,Keck I 10-m,2024AJ....168...81S,12
TOI-6029,HIRES_RM,Keck I 10-m,2024AJ....168...81S,32
TOI-622,HARPS,ESO La Silla 3.6-m,2023A&A...675A..39P,18
TOI-622,PLATOSpec_RM,ESO La Silla 1.52-m,2025A&A...702A.266Z,11
TOI-622,PLATOSpec1_RM,ESO La Silla 1.52-m,2025A&A...702A.266Z,17
TOI-640,HARPS_RM,ESO La Silla 3.6-m,2023A&A...671A.164K,22
TOI-640,HARPS,ESO La Silla 3.6-m,2023A&A...671A.164K,40
TOI-677,MINERVA,MINERVA,2020AJ....159..145J,16
TOI-677,FEROS,ESO/MPG 2.2-m,2020AJ....159..145J,35
TOI-677,CHIRON,SMARTS 1.5-m,2020AJ....159..145J,9
TOI-677,CORALIE,Euler 1.2-m,2020AJ....159..145J,6
TOI-677,NRES,LCOGT 1-m,2020AJ....159..145J,12
TOI-677,EPS_RM,Multiple,2020AJ....159..145J,62
TOI-677,PFS_RM,Magellan 6.5-m,2024AJ....167..175H,29
TOI-778,MAT1,MINERVA,2023AJ....165..207C,25
TOI-778,MAT3,MINERVA,2023AJ....165..207C,29
TOI-778,TRES,FLWO 1.5-m,2023AJ....165..207C,12
TOI-778,Coralie,Euler 1.2-m,2023AJ....165..207C,27
TOI-778,Chiron,SMARTS 1.5-m,2023AJ....165..207C,27
TOI-778,MAT4_RM,MINERVA,2023AJ....165..207C,17
TOI-813,CHIRON,SMARTS 1.5-m,2020MNRAS.494..750E,4
TOI-813,ESPRESSO_RM,ESO VLT 8.2-m,2024A&A...690A.379K,27
TOI-858 B,CHIRON,SMARTS 1.5-m,2023A&A...679A..70H,7
TOI-880,KPF_RM,Keck I 10-m,Elina,32
TOI-892,TRES,FLWO 1.5-m,2020AJ....160..235B,14
TOI-892,FEROS,ESO/MPG 2.2-m,2020AJ....160..235B,15
TOI-892,HARPSN_RM,TNG 3.6-m,2024A&A...690A.379K,21
TOI-942,PFS_RM,Magellan 6.5-m,2021ApJ...917L..34W,7
TOI-942,PFS1_RM,Magellan 6.5-m,2021ApJ...917L..34W,12
TOI-942,KPF_RM,Keck I 10-m,2024AJ....168..194T,21
TrES-1,HIRES04,Keck I 10-m,2017AJ....153..208B,8
TrES-1,HIRES17,Keck I 10-m,2017AJ....153..208B,19
TrES-1,HDS_RM,Subaru 8.2-m,2007PASJ...59..763N,19
TrES-1,HARPSN,TNG 3.6-m,2017A&A...602A.107B,15
TrES-2,HIRES,Keck I 10-m,2008ApJ...682.1283W,11
TrES-2,HIRES_RM,Keck I 10-m,2008ApJ...682.1283W,56
TrES-4,HIRES,Keck I 10-m,2017AJ....153..208B,10
TrES-4,HDS_RM,Subaru 8.2-m,2010PASJ...62..653N,23
TrES-4,HDS,Subaru 8.2-m,2010PASJ...62..653N,8
WASP-100,CORALIE,Euler 1.2-m,2014MNRAS.440.1982H,19
WASP-100,UCLES_RM,AAT 3.9-m,2018AJ....156..197A,18
WASP-101,CORALIE,Euler 1.2-m,2014MNRAS.440.1982H,19
WASP-101,HARPW101_RM,ESO La Silla 3.6-m,2014MNRAS.440.1982H,54
WASP-103,CORALIE,Euler 1.2-m,2014A&A...562L...3G,18
WASP-103,UCLES,AAT 3.9-m,2016ApJ...823...29A,6
WASP-103,UCLES_RM,AAT 3.9-m,2016ApJ...823...29A,13
WASP-103,HARPW103_RM,ESO La Silla 3.6-m,2014A&A...562L...3G,62
WASP-105,HARPS1,ESO La Silla 3.6-m,2024A&A...686A.147Z,14
WASP-105,HARPS_RM,ESO La Silla 3.6-m,2024A&A...686A.147Z,23
WASP-105,HARPS1_RM,ESO La Silla 3.6-m,2024A&A...686A.147Z,20
WASP-106,SOPHIE,OHP 1.93-m,2023AJ....166..159H,9
WASP-106,CORALIE,Euler 1.2-m,2023AJ....166..159H,19
WASP-106,HARPS1_RM,ESO La Silla 3.6-m,2023AJ....166..159H,18
WASP-106,HARPS2_RM,ESO La Silla 3.6-m,2023AJ....166..159H,34
WASP-106,HARPSN_RM,TNG 3.6-m,2023AJ....166..159H,48
WASP-106,NEID_RM,WIYN 3.5-m,2023AJ....166..217W,22
WASP-106,ESP_RM,ESO VLT 8.2-m,2025AJ....170...70E,38
WASP-107,CORALIE,Euler 1.2-m,2017A&A...604A.110A,31
WASP-107,HIRES,Keck I 10-m,2021AJ....161..119R,60
WASP-107,HIRES_RM,Keck I 10-m,2021AJ....161..119R,22
WASP-107,MAROONXB,Gemini-N 8.1-m,2017A&A...604A.110A,20
WASP-107,MAROONXR,Gemini-N 8.1-m,2017A&A...604A.110A,20
WASP-111,COR07,Euler 1.2-m,Dace,49
WASP-111,COR07_RM,Euler 1.2-m,Dace,16
WASP-111,COR14,Euler 1.2-m,Dace,6
WASP-117,CORALIE,Euler 1.2-m,2014A%26A...568A..81L,65
WASP-117,HARPS,ESO La Silla 3.6-m,2014A%26A...568A..81L,28
WASP-117,HARPS_RM,ESO La Silla 3.6-m,2014A%26A...568A..81L,25
WASP-117,ESPRESSO_RM,ESO VLT 8.2-m,2021A&A...646A.168C,94
WASP-11,FIES,NOT 2.56-m,2009A&A...502..395W,8
WASP-11,HIRES,Keck I 10-m,2009A&A...502..395W,16
WASP-11,HARPSN_RM,TNG 3.6-m,2015A%26A...579A.136M,32
WASP-120,CORALIE,Euler 1.2-m,2016PASP..128f4401T,29
WASP-120,HARPW120_RM,ESO La Silla 3.6-m,2016PASP..128f4401T,37
WASP-121,COR07,Euler 1.2-m,Dace,37
WASP-121,COR14,Euler 1.2-m,Dace,18
WASP-121,COR14_RM,Euler 1.2-m,Dace,19
WASP-121,COR141_RM,Euler 1.2-m,Dace,18
WASP-121,HARPS1501_RM,ESO La Silla 3.6-m,DACE,35
WASP-121,HARPS1502_RM,ESO La Silla 3.6-m,DACE,55
WASP-121,HARPS1503_RM,ESO La Silla 3.6-m,DACE,50
WASP-127,SOPHIE,OHP 1.93-m,2017A&A...599A...3L,13
WASP-127,CORALIE,Euler 1.2-m,2017A&A...599A...3L,22
WASP-127,ESPRESSOExtracted_RM,ESO VLT 8.2-m,2017A&A...599A...3L,148
WASP-129,CORALIE,Euler 1.2-m,2016A&A...591A..55M,9
WASP-129,HARPS,ESO La Silla 3.6-m,2025arXiv250520516Z,17
WASP-129,HARPS_RM,ESO La Silla 3.6-m,2025arXiv250520516Z,22
WASP-12,SOPHIE,OHP 1.93-m,2009ApJ...693.1920H,21
WASP-12,HIRES_RM,Keck I 10-m,2012ApJ...757...18A,38
WASP-12,HARPSN,TNG 3.6-m,2017A&A...602A.107B,15
WASP-130,CORALIE,Euler 1.2-m,2017MNRAS.465.3693H,27
WASP-130,HARPS,ESO La Silla 3.6-m,2025AJ....170...70E,18
WASP-130,ESPRESSO_RM,ESO VLT 8.2-m,2025AJ....170...70E,47
WASP-131,CORALIE,Euler 1.2-m,2017MNRAS.465.3693H,23
WASP-131,HARPW131_RM,ESO La Silla 3.6-m,2017MNRAS.465.3693H,38
WASP-134,HARPS,ESO La Silla 3.6-m,2018arXiv181209264A,10
WASP-134,HARPS_RM,ESO La Silla 3.6-m,2018arXiv181209264A,17
WASP-134,HARPS1_RM,ESO La Silla 3.6-m,2018arXiv181209264A,8
WASP-134,HARPSN_RM,TNG 3.6-m,2018arXiv181209264A,48
WASP-136,CORALIE,Euler 1.2-m,2017A&A...599A...3L,23
WASP-136,FIESp_RM,NOT 2.56-m,2024A&A...690A.379K,20
WASP-139,CORALIE-1,Euler 1.2-m,2024AJ....168..185E,16
WASP-139,HARPS,ESO La Silla 3.6-m,2024AJ....168..185E,23
WASP-139,CORALIE-2,Euler 1.2-m,2024AJ....168..185E,7
WASP-139,ESPRESSO_RM,ESO VLT 8.2-m,2024AJ....168..185E,18
WASP-13,SOPHIE,OHP 1.93-m,2014MNRAS.440.3392B,11
WASP-13,SOPHIE_RM,OHP 1.93-m,2014MNRAS.440.3392B,54
WASP-13,HARPSN,TNG 3.6-m,2017A&A...602A.107B,17
WASP-140,CORALIE,Euler 1.2-m,2017MNRAS.465.3693H,23
WASP-140,HARPS0_RM,ESO La Silla 3.6-m,2025A&A...694A..91Z,23
WASP-140,HARPS,ESO La Silla 3.6-m,2025A&A...694A..91Z,4
WASP-140,HARPS2_RM,ESO La Silla 3.6-m,2025A&A...694A..91Z,20
WASP-14,FIES,NOT 2.56-m,2009MNRAS.392.1532J,6
WASP-14,SOPHIE_RM,OHP 1.93-m,2009MNRAS.392.1532J,21
WASP-14,HIRES,Keck I 10-m,2009PASP..121.1104J,5
WASP-14,SOPHIE,OHP 1.93-m,2009MNRAS.392.1532J,11
WASP-14,HDS_RM,Subaru 8.2-m,2009PASP..121.1104J,39
WASP-14,HARPSN,TNG 3.6-m,2017A&A...602A.107B,12
WASP-156,CORALIE,Euler 1.2-m,2018A&A...610A..63D,13
WASP-156,SOPHIE,OHP 1.93-m,2018A&A...610A..63D,44
WASP-15,CORALIE,Euler 1.2-m,2010A%26A...524A..25T,44
WASP-15,HARPS,ESO La Silla 3.6-m,2010A&A...524A..25T,4
WASP-15,HARPS_RM,ESO La Silla 3.6-m,2010A&A...524A..25T,47
WASP-162,CORALIE,Euler 1.2-m,2019MNRAS.482.1379H,18
WASP-162,HARPS-N_RM,TNG 3.6-m,2025arXiv250520516Z,38
WASP-166,COR,Euler 1.2-m,2019MNRAS.488.3067H,41
WASP-166,HARPS,ESO La Silla 3.6-m,2019MNRAS.488.3067H,26
WASP-166,HARPS2_RM,ESO La Silla 3.6-m,2019MNRAS.488.3067H,75
WASP-166,HARPS1_RM,ESO La Silla 3.6-m,2019MNRAS.488.3067H,52
WASP-166,HARPS_RM,ESO La Silla 3.6-m,2019MNRAS.488.3067H,66
WASP-166,ESPR_RM,ESO VLT 8.2-m,2019MNRAS.488.3067H,139
WASP-16,CORALIE,Euler 1.2-m,2012MNRAS.423.1503B,31
WASP-16,CORALIE_RM,Euler 1.2-m,2012MNRAS.423.1503B,32
WASP-16,PFS_RM,Magellan 6.5-m,2012ApJ...757...18A,31
WASP-16,HARPS,ESO La Silla 3.6-m,2012MNRAS.423.1503B,7
WASP-16,HARPS_RM,ESO La Silla 3.6-m,2012MNRAS.423.1503B,28
WASP-172,CORALIE,Euler 1.2-m,2019MNRAS.482.1379H,38
WASP-172,ESPRESSO_RM,ESO VLT 8.2-m,2024A&A...690A.379K,28
WASP-173 A,HARPS,ESO La Silla 3.6-m,2025A&A...694A..91Z,6
WASP-173 A,HARPS0_RM,ESO La Silla 3.6-m,2025A&A...694A..91Z,35
WASP-174,CORALIE,Euler 1.2-m,2018MNRAS.480.5307T,16
WASP-174,FEROS,ESO/MPG 2.2-m,2020A&A...633A..30M,16
WASP-174,HARPS_RM,ESO La Silla 3.6-m,2018MNRAS.480.5307T,23
WASP-178,CORALIE,Euler 1.2-m,2019MNRAS.490.1479H,23
WASP-17,CORALIE,Euler 1.2-m,2010A%26A...524A..25T,51
WASP-17,HARPS,ESO La Silla 3.6-m,2010A%26A...524A..25T,18
WASP-17,CORALIE_RM,Euler 1.2-m,2010A%26A...524A..25T,10
WASP-17,HARPS_RM,ESO La Silla 3.6-m,2010A%26A...524A..25T,42
WASP-180 A,CORALIE,Euler 1.2-m,2019MNRAS.490.2467T,9
WASP-180 A,HARPS_RM,ESO La Silla 3.6-m,2019MNRAS.490.2467T,18
WASP-180 A,HARPS,ESO La Silla 3.6-m,2019MNRAS.490.2467T,6
WASP-186,SOPHIE,OHP 1.93-m,2020MNRAS.499..428S,25
WASP-186,FIESp_RM,NOT 2.56-m,2024A&A...690A.379K,15
WASP-18,CORALIE,Euler 1.2-m,2010A%26A...524A..25T,37
WASP-18,HARPS_RM,ESO La Silla 3.6-m,2010A%26A...524A..25T,19
WASP-18,HARPS,ESO La Silla 3.6-m,2010A%26A...524A..25T,4
WASP-18,PFS_RM,Magellan 6.5-m,2012ApJ...757...18A,42
WASP-190,CoRALIE_RM,Euler 1.2-m,2019AJ....157..141T,6
WASP-190,HARPS_RM,ESO La Silla 3.6-m,2019AJ....157..141T,28
WASP-190,HARPS,ESO La Silla 3.6-m,2019AJ....157..141T,5
WASP-193,CORALIE,Euler 1.2-m,2024NatAs...8..909B,12
WASP-193,HARPS,ESO La Silla 3.6-m,2024NatAs...8..909B,11
WASP-193,PFS,Magellan 6.5-m,2025AJ....169..225Y,13
WASP-193,PFS1_RM,Magellan 6.5-m,2025AJ....169..225Y,36
WASP-19,COROLIE,Euler 1.2-m,2011ApJ...730L..31H,3
WASP-19,HIRES,Keck I 10-m,2011ApJ...730L..31H,11
WASP-19,HIRES_RM,Keck I 10-m,2011ApJ...730L..31H,25
WASP-19,PFS_RM,Magellan 6.5-m,2012ApJ...757...18A,20
WASP-19,ESPRESSOds1_RM,ESO VLT 8.2-m,2011ApJ...730L..31H,22
WASP-19,ESPRESSOds3_RM,ESO VLT 8.2-m,2011ApJ...730L..31H,23
WASP-19,ESPRESSOds4_RM,ESO VLT 8.2-m,2011ApJ...730L..31H,22
WASP-1,SOPHIE,OHP 1.93-m,2011MNRAS.414.3023S,7
WASP-1,HIRES_RM,Keck I 10-m,2017AJ....153..208B,34
WASP-1,HDS_RM,Subaru 8.2-m,2011ApJ...738...50A,20
WASP-1,FIES,NOT 2.56-m,2011MNRAS.414.3023S,15
WASP-1,SOPHIE_RM,OHP 1.93-m,2011MNRAS.414.3023S,21
WASP-1,HIRES,Keck I 10-m,2017AJ....153..208B,9
WASP-1,HARPSN,TNG 3.6-m,2017A&A...602A.107B,10
WASP-20,CORALIE,Euler 1.2-m,2015A%26A...575A..61A,56
WASP-20,HIRES,Keck I 10-m,2015A%26A...575A..61A,20
WASP-20,HIRES_RM,Keck I 10-m,2015A%26A...575A..61A,43
WASP-21,FIES,NOT 2.56-m,2010A&A...519A..98B,3
WASP-21,CORALIE,Euler 1.2-m,2010A&A...519A..98B,13
WASP-21,SOPHIE,OHP 1.93-m,2010A&A...519A..98B,11
WASP-21,HARPS,ESO La Silla 3.6-m,2020A%26A...642A..54C,15
WASP-21,HARPS_RM,ESO La Silla 3.6-m,2020A%26A...642A..54C,22
WASP-21,HARPS1_RM,ESO La Silla 3.6-m,2020A%26A...642A..54C,19
WASP-21,HARPSN_RM,TNG 3.6-m,2020A%26A...642A..54C,33
WASP-22,CAROLIE,Euler 1.2-m,2010AJ....140.2007M,37
WASP-22,HARPS,ESO La Silla 3.6-m,2011A%26A...534A..16A,12
WASP-22,HARPS_RM,ESO La Silla 3.6-m,2011A%26A...534A..16A,22
WASP-24,FIES,NOT 2.56-m,2010ApJ...720..337S,10
WASP-24,CORALIE,Euler 1.2-m,2010ApJ...720..337S,18
WASP-24,HARPS,ESO La Silla 3.6-m,2011MNRAS.414.3023S,8
WASP-24,HARPS_RM,ESO La Silla 3.6-m,2011MNRAS.414.3023S,55
WASP-24,HIRES,Keck I 10-m,2014ApJ...785..126K,4
WASP-24,HARPSN,TNG 3.6-m,2017A&A...602A.107B,11
WASP-25,CORALIE,Euler 1.2-m,2012MNRAS.423.1503B,29
WASP-25,HARPS,ESO La Silla 3.6-m,2012MNRAS.423.1503B,8
WASP-25,HARPS_RM,ESO La Silla 3.6-m,2012MNRAS.423.1503B,43
WASP-26,CORALIE,Euler 1.2-m,2010A&A...520A..56S,16
WASP-26,PFS_RM,Magellan 6.5-m,2012ApJ...757...18A,39
WASP-26,HARPS,ESO La Silla 3.6-m,2011A&A...534A..16A,6
WASP-26,HARPS_RM,ESO La Silla 3.6-m,2011A&A...534A..16A,24
WASP-26,HARPSN,TNG 3.6-m,2017A&A...602A.107B,9
WASP-28,CORALIE,Euler 1.2-m,2015A%26A...575A..61A,26
WASP-28,HARPS_RM,ESO La Silla 3.6-m,2015A%26A...575A..61A,30
WASP-2,SOPHIE,OHP 1.93-m,2010A%26A...524A..25T,8
WASP-2,HDS_RM,Subaru 8.2-m,2011ApJ...738...50A,21
WASP-2,HDS1_RM,Subaru 8.2-m,2011ApJ...738...50A,10
WASP-2,HARPS_RM,ESO La Silla 3.6-m,2010A%26A...524A..25T,26
WASP-2,CORALIE,Euler 1.2-m,2010A%26A...524A..25T,20
WASP-2,PFS_RM,Magellan 6.5-m,2011ApJ...738...50A,35
WASP-30,CORALIE,Euler 1.2-m,2013A&A...549A..18T,24
WASP-30,HARPS,ESO La Silla 3.6-m,2013A&A...549A..18T,10
WASP-30,HARPS_RM,ESO La Silla 3.6-m,2013A&A...549A..18T,26
WASP-30,CORALIE_RM,Euler 1.2-m,2013A&A...549A..18T,10
WASP-31,HIRES_RM,Keck I 10-m,2012ApJ...757...18A,27
WASP-31,HARPSN,TNG 3.6-m,2017A&A...602A.107B,12
WASP-32,SOPHIE_RM,OHP 1.93-m,2014MNRAS.440.3392B,22
WASP-32,HARPS,ESO La Silla 3.6-m,2012ApJ...760..139B,6
WASP-32,HARPS_RM,ESO La Silla 3.6-m,2012ApJ...760..139B,30
WASP-32,HARPSN,TNG 3.6-m,2017A&A...602A.107B,9
WASP-33,CoudeEchelle2013,Thüringer 2-m,2021A+A...653A.104B,248
WASP-33,CoudeEchelle2015,Thüringer 2-m,2021A+A...653A.104B,39
WASP-33,HARPSN_RM,TNG 3.6-m,2021A+A...653A.104B,40
WASP-33,HARPSN1_RM,TNG 3.6-m,2021A+A...653A.104B,32
WASP-33,HARPSN2_RM,TNG 3.6-m,2021A+A...653A.104B,26
WASP-33,HARPSN3_RM,TNG 3.6-m,2021A+A...653A.104B,33
WASP-35,CORALIE,Euler 1.2-m,2011AJ....142...86E,9
WASP-35,FIES,NOT 2.56-m,2011AJ....142...86E,3
WASP-35,PLATOSpec_RM,ESO La Silla 1.52-m,2025A&A...702A.266Z,17
WASP-35,PLATOSpec1_RM,ESO La Silla 1.52-m,2025A&A...702A.266Z,17
WASP-38,FIES_RM,NOT 2.56-m,2011MNRAS.414.3023S,26
WASP-38,HARPS,ESO La Silla 3.6-m,2012ApJ...760..139B,14
WASP-38,HARPS_RM,ESO La Silla 3.6-m,2012ApJ...760..139B,63
WASP-39,SOPHIE,OHP 1.93-m,2011A&A...531A..40F,8
WASP-39,CAROLIE,Euler 1.2-m,2018A%26A...613A..41M,9
WASP-39,HARPSN_RM,TNG 3.6-m,2018A%26A...613A..41M,20
WASP-3,SOPHIE,OHP 1.93-m,2010MNRAS.405.1867S,7
WASP-3,HIRES_RM,Keck I 10-m,2010ApJ...715..421T,13
WASP-3,HIRES0_RM,Keck I 10-m,2010ApJ...715..421T,9
WASP-3,HIRES,Keck I 10-m,2010ApJ...715..421T,8
WASP-3,SOPHIE_RM,OHP 1.93-m,2010MNRAS.405.1867S,26
WASP-41,CORALIE,Euler 1.2-m,2016A%26A...586A..93N,100
WASP-41,HARPS_RM,ESO La Silla 3.6-m,2016A%26A...586A..93N,35
WASP-41,HARPS,ESO La Silla 3.6-m,2016A%26A...586A..93N,30
WASP-43,CORALIE,Euler 1.2-m,2011A&A...535L...7H,15
WASP-43,HARPSN_RM,TNG 3.6-m,2017A%26A...601A..53E,32
WASP-43,HARPSN,TNG 3.6-m,2017A%26A...601A..53E,8
WASP-44,CORALIE,Euler 1.2-m,2012MNRAS.422.1988A,17
WASP-44,HARPS_RM,ESO La Silla 3.6-m,2025arXiv250520516Z,17
WASP-45,CORALIE,Euler 1.2-m,2012MNRAS.422.1988A,13
WASP-45,HARPS_RM,ESO La Silla 3.6-m,2025arXiv250520516Z,20
WASP-47,CORALIE07,Euler 1.2-m,Dace,46
WASP-47,CORALIE14,Euler 1.2-m,Dace,6
WASP-47,HARPSN,TNG 3.6-m,2017AJ....154..237V,69
WASP-47,HIRES_RM,Keck I 10-m,2015ApJ...812L..11S,29
WASP-47,HIRES,Keck I 10-m,2015ApJ...812L..11S,45
WASP-47,PFS,Magellan 6.5-m,2015ApJ...813L...9D,26
WASP-47,ESP,ESO VLT 8.2-m,2022AJ....163..197B,19
WASP-48,SOPHIE,OHP 1.93-m,2011AJ....142...86E,14
WASP-48,HARPS-N0_RM,TNG 3.6-m,2025A&A...694A..91Z,25
WASP-4,CORALIE,Euler 1.2-m,2010A%26A...524A..25T,24
WASP-4,HARPS_RM,ESO La Silla 3.6-m,2010A%26A...524A..25T,20
WASP-50,CORALIE,Euler 1.2-m,2011A%26A...533A..88G,15
WASP-50,HARPSN,TNG 3.6-m,2017A%26A...602A.107B,10
WASP-50,ESPRESSO_RM,ESO VLT 8.2-m,2024A&A...690A.379K,61
WASP-52,CORALIE,Euler 1.2-m,2013A&A...549A.134H,16
WASP-52,SOPHIEHE1,OHP 1.93-m,2013A&A...549A.134H,4
WASP-52,SOPHIEHE2,OHP 1.93-m,2013A&A...549A.134H,16
WASP-52,SOPHIEHR,OHP 1.93-m,2013A&A...549A.134H,9
WASP-52,SOPHIE_RM,OHP 1.93-m,2013A&A...549A.134H,19
WASP-52,ESPRESSO20181031_RM,ESO VLT 8.2-m,2020A%26A...635A.171C,24
WASP-52,ESPRESSO20181107_RM,ESO VLT 8.2-m,2020A%26A...635A.171C,18
WASP-52,ESPRESSO20181114_RM,ESO VLT 8.2-m,2020A%26A...635A.171C,16
WASP-53,CORALIE,Euler 1.2-m,2017MNRAS.467.1714T,73
WASP-53,HARPS,ESO La Silla 3.6-m,2017MNRAS.467.1714T,31
WASP-53,HARPS_RM,ESO La Silla 3.6-m,2017MNRAS.467.1714T,18
WASP-53,HARPS1_RM,ESO La Silla 3.6-m,2017MNRAS.467.1714T,19
WASP-53,HARPS2_RM,ESO La Silla 3.6-m,2017MNRAS.467.1714T,15
WASP-54,CORALIE,Euler 1.2-m,2013A&A...551A..73F,16
WASP-54,SOPHIE,OHP 1.93-m,2013A&A...551A..73F,7
WASP-54,HARPS_RM,ESO La Silla 3.6-m,2025arXiv250520516Z,38
WASP-54,HARPS,ESO La Silla 3.6-m,2025arXiv250520516Z,5
WASP-54,HARPS-N_GAPS,TNG 3.6-m,2013A&A...551A..73F,13
WASP-59,SOPHIE,OHP 1.93-m,2013A&A...549A.134H,12
WASP-59,HARPS-N_RM,TNG 3.6-m,2025A&A...694A..91Z,30
WASP-5,CORALIE,Euler 1.2-m,Dace,16
WASP-5,CORALIE14,Euler 1.2-m,Dace,40
WASP-5,HARPS,ESO La Silla 3.6-m,2010A%26A...524A..25T,4
WASP-5,HARPS_RM,ESO La Silla 3.6-m,2010A%26A...524A..25T,29
WASP-5,CORALIE17,Euler 1.2-m,Dace,15
WASP-60,SOPHIE,OHP 1.93-m,2013A&A...549A.134H,7
WASP-60,SOPHIE1,OHP 1.93-m,2013A&A...549A.134H,24
WASP-60,HARPSN_RM,TNG 3.6-m,2018A%26A...613A..41M,21
WASP-61,CORALIE,Euler 1.2-m,2012MNRAS.426..739H,15
WASP-61,HARPS_RM,ESO La Silla 3.6-m,2017MNRAS.464..810B,27
WASP-62,CORALIE,Euler 1.2-m,2012MNRAS.426..739H,25
WASP-62,HARPS_RM,ESO La Silla 3.6-m,2017MNRAS.464..810B,30
WASP-66,CORALIE,Euler 1.2-m,2012MNRAS.426..739H,30
WASP-66,UCLES_RM,AAT 3.9-m,2016ApJ...823...29A,15
WASP-69,CORALIE,Euler 1.2-m,2014MNRAS.445.1114A,22
WASP-69,HARPSN_RM,TNG 3.6-m,2017A%26A...608A.135C,14
WASP-69,HARPSN1_RM,TNG 3.6-m,2017A%26A...608A.135C,18
WASP-6,CORALIE,Euler 1.2-m,2009A%26A...501..785G,35
WASP-6,HARPS,ESO La Silla 3.6-m,2009A&A...501..785G,8
WASP-6,HARPS_RM,ESO La Silla 3.6-m,2009A&A...501..785G,36
WASP-71,SOPHIE,OHP 1.93-m,2013A%26A...552A.120S,9
WASP-71,CORALIE,Euler 1.2-m,2013A%26A...552A.120S,13
WASP-71,CORALIE_RM,Euler 1.2-m,2013A%26A...552A.120S,16
WASP-71,HARPS_RM,ESO La Silla 3.6-m,2017MNRAS.464..810B,27
WASP-72,CORALIE,Euler 1.2-m,2013A&A...552A..82G,18
WASP-72,HIRES_RM,Keck I 10-m,2018AJ....156..197A,18
WASP-74,CAROLIE,Euler 1.2-m,2015AJ....150...18H,20
WASP-74,HARPSN1_RM,TNG 3.6-m,2020A%26A...642A..50L,38
WASP-74,HARPSN2_RM,TNG 3.6-m,2020A%26A...642A..50L,42
WASP-74,HARPSN3_RM,TNG 3.6-m,2020A%26A...642A..50L,35
WASP-76,SOPHIE,OHP 1.93-m,2016A&A...585A.126W,9
WASP-76,CORALIE,Euler 1.2-m,2016A&A...585A.126W,8
WASP-76,ESP_RM,ESO VLT 8.2-m,2020Natur.580..597E,35
WASP-76,ESP1_RM,ESO VLT 8.2-m,2020Natur.580..597E,69
WASP-77A,CORALIE,Euler 1.2-m,2013PASP..125...48M,11
WASP-77A,HARPS,ESO La Silla 3.6-m,2024A&A...686A.147Z,8
WASP-77A,HARPSW77_RM,ESO La Silla 3.6-m,2013PASP..125...48M,19
WASP-77A,HARPJiang_RM,ESO La Silla 3.6-m,2013PASP..125...48M,49
