# COLUMN pl_defaultname: NEA-style planet name (host + letter, e.g., "HAT-P-11 b")
# COLUMN hostname: Host star name
# COLUMN tic_id: TESS Input Catalog ID (e.g., "TIC 350020859")
# COLUMN pl_letter: Planet letter (b, c, ...)
# COLUMN pl_orbper: Orbital period [days]
# COLUMN pl_orbpererr1: Orbital period upper unc. [days]
# COLUMN pl_orbpererr2: Orbital period lower unc. [days]
# COLUMN pl_tranmid: Transit mid-time [BJD]
# COLUMN pl_tranmiderr1: Transit mid-time upper unc. [days]
# COLUMN pl_tranmiderr2: Transit mid-time lower unc. [days]
# COLUMN pl_tsystemref: Time system for transit mid-time (BJD_TDB)
# COLUMN pl_orbsmax: Orbital semi-major axis [AU]
# COLUMN pl_orbsmaxerr1: Semi-major axis upper unc. [AU]
# COLUMN pl_orbsmaxerr2: Semi-major axis lower unc. [AU]
# COLUMN pl_orbeccen: Orbital eccentricity (free only if a non-RM RV instrument is present and f_c/f_s float)
# COLUMN pl_orbeccenerr1: Eccentricity upper unc.
# COLUMN pl_orbeccenerr2: Eccentricity lower unc.
# COLUMN pl_orblper: Argument of periastron [deg] (reported when eccentricity is free)
# COLUMN pl_orblpererr1: Argument of periastron upper unc. [deg]
# COLUMN pl_orblpererr2: Argument of periastron lower unc. [deg]
# COLUMN pl_orbincl: Orbital inclination [deg]
# COLUMN pl_orbinclerr1: Inclination upper unc. [deg]
# COLUMN pl_orbinclerr2: Inclination lower unc. [deg]
# COLUMN pl_imppar: Impact parameter
# COLUMN pl_impparerr1: Impact parameter upper unc.
# COLUMN pl_impparerr2: Impact parameter lower unc.
# COLUMN pl_radj: Planet radius [R_Jup]
# COLUMN pl_radjerr1: Planet radius upper unc. [R_Jup]
# COLUMN pl_radjerr2: Planet radius lower unc. [R_Jup]
# COLUMN pl_massj: Planet mass [M_Jup] (reported for transiting planets with non-RM RV and free K)
# COLUMN pl_massjerr1: Planet mass upper unc. [M_Jup]
# COLUMN pl_massjerr2: Planet mass lower unc. [M_Jup]
# COLUMN pl_msinij: Minimum mass m sin i [M_Jup] (used in lieu of pl_massj for non-transiting planets)
# COLUMN pl_msinijerr1: m sin i upper unc. [M_Jup]
# COLUMN pl_msinijerr2: m sin i lower unc. [M_Jup]
# COLUMN pl_trandep: Transit depth [%] (allesfast ppt / 10)
# COLUMN pl_trandeperr1: Transit depth upper unc. [%]
# COLUMN pl_trandeperr2: Transit depth lower unc. [%]
# COLUMN pl_trandur: Transit duration T_14 [hours]
# COLUMN pl_trandurerr1: Transit duration upper unc. [hours]
# COLUMN pl_trandurerr2: Transit duration lower unc. [hours]
# COLUMN pl_ratdor: a / R*
# COLUMN pl_ratdorerr1: a / R* upper unc.
# COLUMN pl_ratdorerr2: a / R* lower unc.
# COLUMN pl_ratror: Rp / R*
# COLUMN pl_ratrorerr1: Rp / R* upper unc.
# COLUMN pl_ratrorerr2: Rp / R* lower unc.
# COLUMN pl_rvamp: RV semi-amplitude K [m/s]
# COLUMN pl_rvamperr1: K upper unc. [m/s]
# COLUMN pl_rvamperr2: K lower unc. [m/s]
# COLUMN pl_eqt: Equilibrium temperature [K]
# COLUMN pl_eqterr1: T_eq upper unc. [K]
# COLUMN pl_eqterr2: T_eq lower unc. [K]
# COLUMN pl_projobliq: Sky-projected obliquity lambda [deg]
# COLUMN pl_projobliqerr1: lambda upper unc. [deg]
# COLUMN pl_projobliqerr2: lambda lower unc. [deg]
# COLUMN pl_trueobliq: True obliquity psi [deg] (reserved; empty unless derived)
# COLUMN pl_trueobliqerr1: psi upper unc. [deg]
# COLUMN pl_trueobliqerr2: psi lower unc. [deg]
# COLUMN rm_snr_combined: Combined matched-filter RM SNR following Kipping (2024); per-dataset SNR = sqrt(Delta chi^2) (with vs. without RM signal, using effective error sqrt(err^2 + jitter)); multiple RM datasets combined in quadrature
# COLUMN st_name: Star name (same as hostname)
# COLUMN host_star_flag: Always 1 (this row is the host star)
# COLUMN st_refname: Reference / publication identifier (placeholder "999" until assigned)
# COLUMN st_teff: Effective temperature T_eff [K]
# COLUMN st_tefferr1: T_eff upper unc. [K]
# COLUMN st_tefferr2: T_eff lower unc. [K]
# COLUMN st_rad: Stellar radius R* [R_Sun]
# COLUMN st_raderr1: R* upper unc. [R_Sun]
# COLUMN st_raderr2: R* lower unc. [R_Sun]
# COLUMN st_mass: Stellar mass M* [M_Sun]
# COLUMN st_masserr1: M* upper unc. [M_Sun]
# COLUMN st_masserr2: M* lower unc. [M_Sun]
# COLUMN st_met: Metallicity [Fe/H] [dex] (sigma floor 0.08 dex)
# COLUMN st_meterr1: Metallicity upper unc. [dex]
# COLUMN st_meterr2: Metallicity lower unc. [dex]
# COLUMN st_metratio: Metallicity convention (always "[Fe/H]")
# COLUMN st_logg: Surface gravity log g* [cgs]
# COLUMN st_loggerr1: log g* upper unc. [cgs]
# COLUMN st_loggerr2: log g* lower unc. [cgs]
# COLUMN st_age: Stellar age [Gyr]
# COLUMN st_ageerr1: Age upper unc. [Gyr]
# COLUMN st_ageerr2: Age lower unc. [Gyr]
# COLUMN st_vsin: Projected rotation velocity v sin i* [km/s]
# COLUMN st_vsinerr1: v sin i* upper unc. [km/s]
# COLUMN st_vsinerr2: v sin i* lower unc. [km/s]
# COLUMN rv_flag: 1 if any RV data is present in the fit, else 0
# COLUMN tran_flag: 1 if any photometry is fit, else 0
# COLUMN peak_prob: For bimodal A_mstar systems: probability mass under this row's stellar-mass mode (Major row > Minor); 1.0 for single-mode systems
# COLUMN BinaryMultiStarFlag: Y if SOCat (May16SoCat.csv) lists any binary/multi-star indicator for this host TIC, else N
#
pl_defaultname,hostname,tic_id,pl_letter,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tsystemref,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_imppar,pl_impparerr1,pl_impparerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_massj,pl_massjerr1,pl_massjerr2,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_eqt,pl_eqterr1,pl_eqterr2,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,rm_snr_combined,st_name,host_star_flag,st_refname,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2,st_mass,st_masserr1,st_masserr2,st_met,st_meterr1,st_meterr2,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_age,st_ageerr1,st_ageerr2,st_vsin,st_vsinerr1,st_vsinerr2,rv_flag,tran_flag,peak_prob,BinaryMultiStarFlag
GJ 436 b,GJ 436,TIC 138819293,b,2.64389728,0.00000011,-0.00000011,2455290.75242,0.00016,-0.00016,BJD_TDB,0.02837,0.00063,-0.00060,0.132,0.010,-0.010,331.8,4.9,-4.5,86.83,0.11,-0.11,0.845,0.010,-0.011,0.3514,0.0076,-0.0067,0.0681,0.0018,-0.0017,,,,0.628,0.015,-0.015,1.0021,0.0089,-0.0084,14.56,0.32,-0.31,0.0862,0.0018,-0.0016,17.45,0.30,-0.30,595.4,6.3,-6.5,111,17,-20,,,,8.01,GJ 436,1,999,3489,51,-51,0.421,0.012,-0.012,0.444,0.027,-0.026,0.046,0.084,-0.065,[Fe/H],4.836,0.021,-0.020,7.4,4.5,-5.2,0.242,0.046,-0.038,1,1,1.0,N
GPX-1 b,GPX-1,TIC 245392284,b,1.744565,0.000012,-0.000014,2458770.2441,0.0092,-0.0077,BJD_TDB,0.0338,0.0011,-0.0011,0.054,0.056,-0.038,184,83,-97,79.57,0.68,-0.72,0.820,0.024,-0.032,1.394,0.051,-0.040,21.9,2.7,-2.6,,,,0.75,0.34,-0.23,2.167,0.094,-0.080,4.52,0.15,-0.15,0.0891,0.0032,-0.0025,2470,280,-270,2392,41,-39,,,,,,,,GPX-1,1,999,7770,190,-190,1.642,0.056,-0.053,1.798,0.060,-0.061,0.278,0.088,-0.085,[Fe/H],4.262,0.030,-0.030,0.09,0.11,-0.05,,,,1,1,1.0,N
HAT-P-11 b,HAT-P-11,TIC 28230919,b,4.887802514,0.000000038,-0.000000039,2455109.3351231,0.0000097,-0.0000091,BJD_TDB,0.0515,0.0014,-0.0013,0.237,0.027,-0.027,26.8,7.9,-7.3,89.003,0.071,-0.071,0.215,0.009,-0.010,0.43771,0.00033,-0.00034,0.0729,0.0047,-0.0047,,,,0.435,0.016,-0.016,2.35199,0.00068,-0.00068,14.47,0.38,-0.35,0.058714,0.000043,-0.000046,11.23,0.68,-0.67,800,10,-10,100,11,-7,,,,4.20,HAT-P-11,1,999,4705,63,-62,0.771,0.021,-0.021,0.780,0.030,-0.028,0.153,0.077,-0.078,[Fe/H],4.556,0.025,-0.022,9.3,3.2,-4.7,1.26,0.47,-0.52,1,1,1.0,N
HAT-P-12 b,HAT-P-12,TIC 198108326,b,3.21305822,0.00000010,-0.00000010,2454419.19582,0.00011,-0.00011,BJD_TDB,0.04215,0.00091,-0.00084,0.045,0.024,-0.025,300,40,-290,88.45,0.19,-0.17,0.314,0.031,-0.038,1.0774,0.0066,-0.0072,0.0516,0.0030,-0.0029,,,,2.372,0.036,-0.032,2.3431,0.0081,-0.0078,11.56,0.25,-0.23,0.14120,0.00086,-0.00094,36.4,1.8,-1.8,827.6,8.4,-8.8,-27,37,-25,,,,3.21,HAT-P-12,1,999,4573,53,-52,0.707,0.016,-0.015,0.709,0.025,-0.023,-0.059,0.024,-0.032,[Fe/H],4.590,0.020,-0.019,9.0,3.4,-4.8,0.52,0.21,-0.16,1,1,1.0,N
HAT-P-13 b,HAT-P-13,TIC 20096620,b,2.91624154,0.00000035,-0.00000034,2454779.93031,0.00051,-0.00051,BJD_TDB,0.04394,0.00095,-0.00091,0.015,0.011,-0.009,212,43,-57,82.31,0.33,-0.33,0.739,0.014,-0.016,1.545,0.027,-0.025,0.933,0.025,-0.024,,,,0.855,0.019,-0.018,3.335,0.025,-0.024,5.48,0.12,-0.11,0.0921,0.0016,-0.0015,104.6,1.8,-1.8,1562,16,-17,-4.0,6.4,-6.6,,,,5.02,HAT-P-13,1,999,5724,69,-68,1.721,0.041,-0.040,1.330,0.045,-0.050,0.469,0.046,-0.058,[Fe/H],4.089,0.020,-0.020,4.07,0.83,-0.73,1.44,0.24,-0.24,1,1,1.0,N
HAT-P-14 b,HAT-P-14,TIC 101721385,b,4.62765980,0.00000052,-0.00000051,2457304.81334,0.00026,-0.00028,BJD_TDB,0.0635,0.0016,-0.0018,0.110,0.013,-0.016,98.1,5.5,-5.3,83.36,0.27,-0.33,0.896,0.009,-0.010,1.344,0.059,-0.049,2.170,0.074,-0.070,,,,0.610,0.016,-0.014,2.279,0.026,-0.022,8.67,0.23,-0.25,0.0878,0.0038,-0.0032,222.6,3.4,-3.7,1508,22,-19,-163,28,-14,,,,2.44,HAT-P-14,1,999,6840,150,-160,1.548,0.042,-0.040,1.519,0.058,-0.077,0.166,0.074,-0.077,[Fe/H],4.241,0.023,-0.031,0.17,0.76,-0.15,2.4,1.6,-1.4,1,1,1.0,Y
HAT-P-15 b,HAT-P-15,TIC 353459965,b,10.86345550,0.00000094,-0.00000093,2456159.44326,0.00022,-0.00022,BJD_TDB,0.0921,0.0019,-0.0022,0.185,0.014,-0.015,262.3,1.5,-1.6,89.54,0.32,-0.29,0.19,0.11,-0.13,0.9812,0.0090,-0.0073,1.861,0.054,-0.046,,,,1.1892,0.0088,-0.0092,5.478,0.029,-0.026,19.72,0.41,-0.47,0.10043,0.00092,-0.00075,180.0,2.7,-3.0,750.0,9.1,-7.7,5,23,-22,,,,10.33,HAT-P-15,1,999,5060,62,-62,1.027,0.025,-0.022,0.937,0.038,-0.027,0.344,0.073,-0.078,[Fe/H],4.389,0.020,-0.021,11.1,1.9,-2.8,1.61,0.21,-0.17,1,1,1.0,N
HAT-P-16 b,HAT-P-16,TIC 191284318,b,2.77596730,0.00000030,-0.00000030,2455027.59386,0.00052,-0.00053,BJD_TDB,0.03965,0.00079,-0.00078,0.0346,0.0036,-0.0035,206,10,-11,87.97,0.77,-0.54,0.27,0.07,-0.10,1.154,0.011,-0.010,4.209,0.090,-0.087,,,,1.250,0.029,-0.032,3.026,0.011,-0.011,7.65,0.15,-0.15,0.10645,0.00097,-0.00093,529.2,3.5,-3.5,1440,14,-14,-18,22,-17,,,,7.21,HAT-P-16,1,999,6150,71,-71,1.153,0.026,-0.025,1.198,0.041,-0.045,0.207,0.077,-0.076,[Fe/H],4.393,0.018,-0.019,1.0,1.2,-0.7,3.33,0.40,-0.38,1,1,1.0,Y
HAT-P-17 b,HAT-P-17,TIC 266593143,b,10.33853185,0.00000084,-0.00000085,2456703.46159,0.00026,-0.00026,BJD_TDB,0.0883,0.0012,-0.0013,0.3406,0.0040,-0.0040,201.3,1.3,-1.3,89.43,0.19,-0.15,0.230,0.056,-0.074,0.987,0.016,-0.012,0.5643,0.0097,-0.0092,,,,1.739,0.087,-0.062,4.066,0.014,-0.013,22.91,0.32,-0.34,0.1224,0.0019,-0.0015,58.57,0.56,-0.57,726.3,5.4,-5.0,-31,13,-12,,,,10.75,HAT-P-17,1,999,5299,52,-51,0.839,0.015,-0.015,0.889,0.038,-0.038,0.076,0.071,-0.066,[Fe/H],4.540,0.014,-0.016,4.1,3.7,-2.7,0.81,0.14,-0.10,1,1,1.0,N
HAT-P-18 b,HAT-P-18,TIC 21744120,b,5.5080269,0.0000010,-0.0000010,2454715.02456,0.00081,-0.00084,BJD_TDB,0.0577,0.0014,-0.0015,0.020,0.018,-0.013,123,62,-31,89.02,0.54,-0.37,0.28,0.10,-0.15,1.003,0.022,-0.021,0.1752,0.0059,-0.0057,,,,2.319,0.053,-0.056,2.714,0.022,-0.022,16.83,0.41,-0.43,0.1398,0.0031,-0.0029,24.10,0.52,-0.52,757.1,9.8,-9.0,172,27,-23,,,,4.84,HAT-P-18,1,999,4816,61,-61,0.717,0.018,-0.017,0.776,0.030,-0.029,0.075,0.077,-0.082,[Fe/H],4.617,0.023,-0.024,4.0,4.8,-2.8,0.94,0.20,-0.20,1,1,1.0,Y
HAT-P-1 b,HAT-P-1,TIC 346338552,b,4.46529943,0.00000016,-0.00000016,2453979.93276,0.00020,-0.00020,BJD_TDB,0.0530,0.0011,-0.0014,0.021,0.024,-0.015,100,190,-60,85.71,0.17,-0.23,0.7396,0.0075,-0.0082,1.2963,0.0066,-0.0063,0.523,0.021,-0.020,,,,1.320,0.012,-0.012,2.847,0.013,-0.013,9.97,0.20,-0.25,0.11643,0.00059,-0.00056,57.7,2.1,-2.1,1225,16,-12,3.6,2.7,-2.6,,,,16.91,HAT-P-1,1,999,5885,71,-72,1.193,0.028,-0.026,1.129,0.059,-0.060,0.214,0.077,-0.079,[Fe/H],4.338,0.021,-0.027,3.8,2.2,-1.8,2.90,0.18,-0.17,1,1,1.0,Y
HAT-P-20 b,HAT-P-20,TIC 26826078,b,2.87531669,0.00000022,-0.00000022,2455080.92922,0.00035,-0.00035,BJD_TDB,0.03492,0.00030,-0.00029,0.0155,0.0025,-0.0025,332,12,-11,86.550,0.085,-0.077,0.657,0.009,-0.011,0.9618,0.0053,-0.0057,7.445,0.068,-0.069,,,,2.126,0.019,-0.016,1.9123,0.0075,-0.0074,10.847,0.095,-0.090,0.14276,0.00078,-0.00084,1255.2,4.8,-4.8,902.4,3.8,-3.9,-4.0,5.1,-5.5,,,,9.45,HAT-P-20,1,999,4498,40,-40,0.711,0.011,-0.010,0.744,0.029,-0.027,0.207,0.080,-0.078,[Fe/H],4.6063,0.0096,-0.0093,6.6,4.5,-4.2,2.10,0.22,-0.22,1,1,1.0,Y
HAT-P-21 b,HAT-P-21,TIC 17993892,b,4.1244868,0.0000019,-0.0000019,2458159.89692,0.00062,-0.00062,BJD_TDB,0.0511,0.0018,-0.0016,0.233,0.015,-0.015,307.2,2.5,-2.7,86.56,0.34,-0.30,0.625,0.034,-0.044,1.125,0.026,-0.021,4.24,0.16,-0.17,,,,0.977,0.046,-0.032,3.789,0.034,-0.033,8.96,0.32,-0.28,0.0943,0.0022,-0.0018,539,11,-12,1207,19,-21,-7.4,6.0,-7.0,,,,9.88,HAT-P-21,1,999,5678,86,-81,1.213,0.036,-0.035,1.012,0.062,-0.052,0.107,0.070,-0.068,[Fe/H],4.276,0.036,-0.032,8.6,2.8,-2.9,3.36,0.31,-0.31,1,1,1.0,N
HAT-P-22 b,HAT-P-22,TIC 252479260,b,3.21223252,0.00000025,-0.00000025,2458261.30585,0.00011,-0.00011,BJD_TDB,0.0402,0.0012,-0.0013,0.050,0.048,-0.035,164,62,-64,87.45,0.27,-0.27,0.391,0.030,-0.034,1.045,0.011,-0.008,1.99,0.25,-0.24,,,,1.450,0.048,-0.040,2.8516,0.0070,-0.0070,8.87,0.26,-0.29,0.1103,0.0012,-0.0009,286,32,-32,1176,19,-17,0.0,6.0,-6.0,,,,22.52,HAT-P-22,1,999,5344,80,-78,1.020,0.031,-0.028,0.959,0.051,-0.039,0.289,0.079,-0.077,[Fe/H],4.404,0.029,-0.031,8.8,3.2,-3.5,1.290,0.086,-0.084,1,1,1.0,Y
HAT-P-23 b,HAT-P-23,TIC 305243225,b,1.212886257,0.000000052,-0.000000053,2454852.26601,0.00017,-0.00017,BJD_TDB,0.02240,0.00069,-0.00067,0.084,0.024,-0.024,119,19,-20,85.6,1.6,-1.2,0.30,0.07,-0.11,1.261,0.013,-0.013,2.020,0.080,-0.078,,,,1.516,0.017,-0.016,2.201,0.011,-0.011,4.27,0.13,-0.13,0.1148,0.0012,-0.0012,362,14,-14,1849,28,-28,-8,26,-21,,,,4.14,HAT-P-23,1,999,5830,87,-85,1.147,0.030,-0.029,1.071,0.062,-0.061,0.175,0.078,-0.078,[Fe/H],4.348,0.031,-0.032,5.1,2.9,-2.5,7.98,0.47,-0.47,1,1,1.0,N
HAT-P-24 b,HAT-P-24,TIC 440777904,b,3.35524417,0.00000049,-0.00000048,2458011.89592,0.00026,-0.00025,BJD_TDB,0.0466,0.0015,-0.0014,0.053,0.026,-0.026,194,35,-38,87.47,0.60,-0.49,0.328,0.056,-0.075,1.364,0.026,-0.017,0.713,0.040,-0.040,,,,1.152,0.054,-0.039,3.737,0.015,-0.015,7.33,0.24,-0.23,0.1025,0.0019,-0.0013,83.3,3.8,-3.9,1523,24,-24,9.0,9.7,-8.6,,,,11.20,HAT-P-24,1,999,6340,100,-100,1.379,0.039,-0.038,1.232,0.063,-0.064,-0.023,0.067,-0.063,[Fe/H],4.249,0.032,-0.032,2.7,1.3,-1.2,10.11,0.45,-0.45,1,1,1.0,Y
HAT-P-27 b,HAT-P-27,TIC 461239485,b,3.03957456,0.00000079,-0.00000080,2455407.9144,0.0010,-0.0010,BJD_TDB,0.0399,0.0015,-0.0015,0.031,0.036,-0.022,200,90,-120,84.6,0.4,-1.0,0.89,0.18,-0.04,1.2,1.2,-0.1,0.631,0.036,-0.035,,,,1.53,0.41,-0.19,1.766,0.063,-0.059,9.54,0.35,-0.35,0.14,0.13,-0.02,90.9,3.7,-3.7,1097,21,-20,20,67,-18,,,,1.48,HAT-P-27,1,999,5209,83,-86,0.900,0.030,-0.028,0.918,0.046,-0.040,0.273,0.077,-0.076,[Fe/H],4.492,0.036,-0.036,6.9,4.5,-4.4,1.08,0.90,-0.65,1,1,1.0,Y
HAT-P-29 b,HAT-P-29,TIC 250707118,b,5.72337010,0.00000069,-0.00000068,2456210.61499,0.00018,-0.00018,BJD_TDB,0.0672,0.0021,-0.0025,0.086,0.048,-0.046,159,25,-29,89.05,0.57,-0.48,0.19,0.09,-0.11,1.0558,0.0087,-0.0074,0.773,0.068,-0.059,,,,0.926,0.011,-0.011,3.869,0.016,-0.015,11.72,0.37,-0.44,0.08799,0.00072,-0.00062,78.5,5.7,-5.3,1150,22,-18,-13,14,-13,,,,10.23,HAT-P-29,1,999,6050,120,-120,1.226,0.040,-0.036,1.214,0.054,-0.064,0.332,0.074,-0.075,[Fe/H],4.346,0.030,-0.038,1.9,2.1,-1.3,4.65,0.34,-0.35,1,1,1.0,Y
HAT-P-2 b,HAT-P-2,TIC 39903405,b,5.63346871,0.00000050,-0.00000051,2458657.66253,0.00023,-0.00023,BJD_TDB,0.0696,0.0011,-0.0011,0.5099,0.0049,-0.0051,191.1,1.0,-1.1,86.60,0.26,-0.24,0.454,0.025,-0.028,1.0866,0.0041,-0.0041,9.31,0.15,-0.15,,,,0.5314,0.0018,-0.0018,4.2721,0.0090,-0.0090,9.34,0.15,-0.14,0.06971,0.00026,-0.00026,926,12,-12,1331,10,-10,3.3,1.7,-1.6,,,,57.19,HAT-P-2,1,999,6521,68,-62,1.607,0.028,-0.029,1.430,0.056,-0.057,0.066,0.071,-0.065,[Fe/H],4.181,0.016,-0.016,1.56,0.54,-0.46,22.92,0.49,-0.49,1,1,1.0,N
HAT-P-30 b,HAT-P-30,TIC 455135327,b,2.81060021,0.00000029,-0.00000029,2457775.21271,0.00020,-0.00020,BJD_TDB,0.04168,0.00087,-0.00083,0.010,0.010,-0.007,190,82,-89,82.91,0.23,-0.23,0.8582,0.0072,-0.0077,1.472,0.054,-0.044,0.691,0.018,-0.018,,,,1.118,0.053,-0.057,2.235,0.015,-0.014,6.95,0.15,-0.14,0.1172,0.0043,-0.0035,90.2,1.6,-1.6,1547,16,-16,77,11,-10,,,,15.78,HAT-P-30,1,999,6263,74,-73,1.287,0.026,-0.026,1.217,0.065,-0.065,0.114,0.085,-0.084,[Fe/H],4.304,0.022,-0.022,2.0,1.6,-1.3,2.60,0.26,-0.25,1,1,1.0,Y
HAT-P-32 b,HAT-P-32,TIC 292152376,b,2.150007434,0.000000091,-0.000000095,2455867.40370,0.00015,-0.00015,BJD_TDB,0.0355,0.0008,-0.0014,0.046,0.054,-0.033,130,130,-90,89.35,0.20,-0.30,0.066,0.029,-0.019,1.8768,0.0064,-0.0064,0.71,0.13,-0.13,,,,2.635,0.042,-0.039,3.1089,0.0086,-0.0086,6.03,0.14,-0.24,0.15203,0.00052,-0.00052,100,18,-18,1636,34,-19,86.3,1.3,-1.6,,,,4.25,HAT-P-32,1,999,6410,120,-120,1.244,0.041,-0.032,1.213,0.050,-0.062,-0.029,0.069,-0.065,[Fe/H],4.335,0.023,-0.040,1.6,1.6,-1.0,20.68,0.51,-0.49,1,1,1.0,Y
HAT-P-33 b,HAT-P-33,TIC 239154970,b,3.47447582,0.00000033,-0.00000033,2458078.13044,0.00016,-0.00015,BJD_TDB,0.0537,0.0021,-0.0032,0.117,0.081,-0.068,271,55,-66,88.40,0.74,-0.51,0.212,0.065,-0.099,1.6264,0.0080,-0.0074,0.60,0.16,-0.16,,,,1.215,0.010,-0.011,4.371,0.013,-0.013,7.13,0.28,-0.43,0.10324,0.00051,-0.00047,69,17,-18,1612,51,-31,,,,,,,,HAT-P-33,1,999,6800,170,-180,1.563,0.086,-0.065,1.522,0.053,-0.057,0.174,0.078,-0.080,[Fe/H],4.237,0.033,-0.058,0.017,0.061,-0.003,,,,1,1,0.6542,Y
HAT-P-33 b,HAT-P-33,TIC 239154970,b,3.47447582,0.00000034,-0.00000031,2458078.13043,0.00014,-0.00015,BJD_TDB,0.0495,0.0016,-0.0017,0.058,0.081,-0.041,180,150,-140,88.07,0.82,-0.59,0.221,0.062,-0.095,1.6274,0.0082,-0.0078,0.67,0.16,-0.17,,,,1.216,0.010,-0.011,4.372,0.013,-0.012,6.57,0.21,-0.22,0.10331,0.00052,-0.00049,72,17,-18,1680,29,-27,,,,,,,,HAT-P-33,1,999,6600,140,-130,1.635,0.056,-0.049,1.379,0.041,-0.042,0.107,0.072,-0.070,[Fe/H],4.150,0.031,-0.031,0.0151,0.0011,-0.0011,,,,1,1,0.3458,Y
HAT-P-34 b,HAT-P-34,TIC 278348461,b,5.45264726,0.00000048,-0.00000048,2455431.59628,0.00035,-0.00035,BJD_TDB,0.0691,0.0020,-0.0018,0.462,0.023,-0.025,23.8,4.1,-3.9,89.29,0.49,-0.69,0.078,0.077,-0.055,1.2477,0.0088,-0.0077,3.25,0.16,-0.15,,,,0.750,0.015,-0.014,3.508,0.012,-0.011,9.58,0.27,-0.26,0.08269,0.00058,-0.00051,357,20,-17,1346,18,-19,-8,16,-12,,,,20.54,HAT-P-34,1,999,6528,92,-80,1.516,0.039,-0.040,1.382,0.062,-0.065,0.084,0.076,-0.072,[Fe/H],4.217,0.027,-0.027,1.57,0.82,-0.67,24.15,0.47,-0.46,1,1,1.0,N
HAT-P-36 b,HAT-P-36,TIC 373693175,b,1.327346737,0.000000055,-0.000000056,2457885.384271,0.000066,-0.000066,BJD_TDB,0.02356,0.00051,-0.00069,0.031,0.029,-0.021,127,94,-70,88.56,0.94,-0.98,0.124,0.082,-0.081,1.2204,0.0075,-0.0068,1.948,0.095,-0.091,,,,1.947,0.034,-0.030,2.2335,0.0086,-0.0081,5.04,0.11,-0.15,0.12468,0.00076,-0.00070,335,16,-16,1602,24,-17,-19,38,-26,,,,6.68,HAT-P-36,1,999,5571,67,-70,1.014,0.026,-0.022,1.011,0.054,-0.054,0.277,0.077,-0.077,[Fe/H],4.432,0.023,-0.031,5.3,3.6,-3.0,3.50,0.42,-0.39,1,1,1.0,N
HAT-P-3 b,HAT-P-3,TIC 311035838,b,2.89973760,0.00000012,-0.00000013,2455694.72651,0.00013,-0.00013,BJD_TDB,0.03867,0.00057,-0.00056,0.0074,0.0088,-0.0052,140,180,-90,86.36,0.15,-0.14,0.621,0.014,-0.016,0.9261,0.0062,-0.0071,0.600,0.014,-0.013,,,,1.361,0.019,-0.019,2.0939,0.0089,-0.0087,9.79,0.14,-0.14,0.11202,0.00074,-0.00085,91.4,1.5,-1.5,1072.0,7.8,-7.8,19.5,6.7,-7.5,,,,7.78,HAT-P-3,1,999,5090,49,-49,0.842,0.015,-0.015,0.893,0.038,-0.038,0.308,0.076,-0.078,[Fe/H],4.538,0.015,-0.016,5.1,4.2,-3.1,1.07,0.16,-0.16,1,1,1.0,Y
HAT-P-41 b,HAT-P-41,TIC 398895470,b,2.69405065,0.00000019,-0.00000018,2458071.24299,0.00016,-0.00016,BJD_TDB,0.0400,0.0018,-0.0014,0.189,0.049,-0.050,138,15,-18,88.6,0.9,-1.1,0.101,0.078,-0.066,1.7714,0.0095,-0.0091,1.016,0.088,-0.090,,,,1.187,0.013,-0.012,4.100,0.016,-0.015,4.84,0.22,-0.17,0.10256,0.00055,-0.00053,126,12,-12,1820,33,-39,-9.4,8.0,-7.8,,,,38.84,HAT-P-41,1,999,6170,130,-120,1.780,0.062,-0.067,1.186,0.050,-0.053,0.099,0.076,-0.075,[Fe/H],4.011,0.042,-0.033,5.6,1.1,-1.0,24.28,0.92,-0.82,1,1,0.5586,Y
