System,teff,teffuerr,tefflerr,pflag,lambdadeg,lambdauerr,lambdalerr,psi,psiuerr,psilerr,Author_string,Ephemeris_Url,normalized_lambdadeg,normalized_lambdauerr,normalized_lambdalerr,Albrecht2022_Excluded_Flag,BinaryMultiStarFlag,SOCatflag,Method,pl_orbper,pl_orbperuerr,pl_orbperlerr,pl_orbeccen,pl_orbeccenuerr,pl_orbeccenlerr,pl_orbsmax,pl_orbsmaxuerr,pl_orbsmaxlerr,pl_orbincl,pl_orbincluerr,pl_orbincllerr,pl_bmassj,pl_bmassjuerr,pl_bmassjlerr,pl_radj,pl_radjuerr,pl_radjlerr,pl_ratror,pl_ratroruerr,pl_ratrorlerr,pl_ratdor,pl_ratdoruerr,pl_ratdorlerr,pl_imppar,pl_impparuerr,pl_impparlerr,pl_trandur,pl_tranduruerr,pl_trandurlerr,st_teff,st_teffuerr,st_tefflerr,st_mass,st_massuerr,st_masslerr,st_rad,st_raduerr,st_radlerr,st_met,st_metuerr,st_metlerr,st_logg,st_logguerr,st_logglerr,st_age,st_ageuerr,st_agelerr
HD_189733,4969,43,43,n,-1.4,1.1,1.1,-999.0,-999.0,-999.0,Winn_et_al._(2006),https://ui.adsabs.harvard.edu/abs/2006ApJ...653L..69W,1.4,1.1,1.1,0,SFN,n,RM,2.21857567,1.5e-07,1.5e-07,0.0,,,0.03126,0.00036,0.00036,85.71,0.0,0.0,1.13,0.08,0.08,1.13,0.01,0.01,0.15534,0.00011,0.00011,8.84,0.27,0.27,0.6636,0.0019,0.0019,1.8233621,0.0016359,0.0016359,5052.0,16.0,16.0,0.79,0.08,0.08,0.75,0.01,0.01,-0.02,,,4.49,0.05,0.05,1.4,4.9,1.9
HD_189733,4969,43,43,n,0.85,0.28,0.32,-999.0,-999.0,-999.0,Triaud_et_al._(2009),https://ui.adsabs.harvard.edu/abs/2009A%26A...506..377T,0.85,0.28,0.32,0,SFN,n,RM,2.21857567,1.5e-07,1.5e-07,0.0,,,0.03126,0.00036,0.00036,85.71,0.0,0.0,1.13,0.08,0.08,1.13,0.01,0.01,0.15534,0.00011,0.00011,8.84,0.27,0.27,0.6636,0.0019,0.0019,1.8233621,0.0016359,0.0016359,5052.0,16.0,16.0,0.79,0.08,0.08,0.75,0.01,0.01,-0.02,,,4.49,0.05,0.05,1.4,4.9,1.9
HD_189733,4969,43,43,n,-0.5,0.3,0.3,-999.0,-999.0,-999.0,Collier_Cameron_et_al._(2010),https://ui.adsabs.harvard.edu/abs/2010MNRAS.403..151C,0.5,0.3,0.3,0,SFN,n,DT,2.21857567,1.5e-07,1.5e-07,0.0,,,0.03126,0.00036,0.00036,85.71,0.0,0.0,1.13,0.08,0.08,1.13,0.01,0.01,0.15534,0.00011,0.00011,8.84,0.27,0.27,0.6636,0.0019,0.0019,1.8233621,0.0016359,0.0016359,5052.0,16.0,16.0,0.79,0.08,0.08,0.75,0.01,0.01,-0.02,,,4.49,0.05,0.05,1.4,4.9,1.9
HD_189733,4969,43,43,n,-0.4,0.2,0.2,7.0,12.0,4.0,Cegla_et_al._(2016),https://ui.adsabs.harvard.edu/abs/2016A%26A...588A.127C,0.4,0.2,0.2,0,SFN,n,RRM,2.21857567,1.5e-07,1.5e-07,0.0,,,0.03126,0.00036,0.00036,85.71,0.0,0.0,1.13,0.08,0.08,1.13,0.01,0.01,0.15534,0.00011,0.00011,8.84,0.27,0.27,0.6636,0.0019,0.0019,1.8233621,0.0016359,0.0016359,5052.0,16.0,16.0,0.79,0.08,0.08,0.75,0.01,0.01,-0.02,,,4.49,0.05,0.05,1.4,4.9,1.9
HD_189733,4969,43,43,n,-999.0,-999.0,-999.0,4.0,18.0,4.0,Dumusque_(2014),https://ui.adsabs.harvard.edu/abs/2014ApJ...796..133D,999.0,-999.0,-999.0,0,SFN,n,st_inc,2.21857567,1.5e-07,1.5e-07,0.0,,,0.03126,0.00036,0.00036,85.71,0.0,0.0,1.13,0.08,0.08,1.13,0.01,0.01,0.15534,0.00011,0.00011,8.84,0.27,0.27,0.6636,0.0019,0.0019,1.8233621,0.0016359,0.0016359,5052.0,16.0,16.0,0.79,0.08,0.08,0.75,0.01,0.01,-0.02,,,4.49,0.05,0.05,1.4,4.9,1.9
HD_189733,4969,43,43,n,-0.31,0.18,0.17,-999.0,-999.0,-999.0,Casasayas-Barris_et_al._(2017),https://ui.adsabs.harvard.edu/abs/2017A%26A...608A.135C,0.31,0.17,0.18,0,SFN,n,RM,2.21857567,1.5e-07,1.5e-07,0.0,,,0.03126,0.00036,0.00036,85.71,0.0,0.0,1.13,0.08,0.08,1.13,0.01,0.01,0.15534,0.00011,0.00011,8.84,0.27,0.27,0.6636,0.0019,0.0019,1.8233621,0.0016359,0.0016359,5052.0,16.0,16.0,0.79,0.08,0.08,0.75,0.01,0.01,-0.02,,,4.49,0.05,0.05,1.4,4.9,1.9
HD_189733,4969,43,43,y,-1.0,0.22,0.23,13.6,6.9,6.9,Cristo_et_al._(2023),https://ui.adsabs.harvard.edu/abs/2024A%26A...682A..28C,1.0,0.23,0.22,0,SFN,y,RM,2.21857567,1.5e-07,1.5e-07,0.0,,,0.03126,0.00036,0.00036,85.71,0.0,0.0,1.13,0.08,0.08,1.13,0.01,0.01,0.15534,0.00011,0.00011,8.84,0.27,0.27,0.6636,0.0019,0.0019,1.8233621,0.0016359,0.0016359,5052.0,16.0,16.0,0.79,0.08,0.08,0.75,0.01,0.01,-0.02,,,4.49,0.05,0.05,1.4,4.9,1.9
HD_191939b,5427,50,50,y,3.7,5.0,5.0,-999.0,-999.0,-999.0,Lubin_et_al._(2024),https://ui.adsabs.harvard.edu/abs/2024AJ....168..196L,3.7,5.0,5.0,0,,y,RM,8.8803256,4.7e-06,4.7e-06,0.031,0.01,0.011,0.0804,0.0025,0.0023,88.1,0.14,0.1,0.03146352,0.00220245,0.00220245,0.30422035,0.00669106,0.00669106,0.03319,0.00032,0.00017,18.36,0.5,0.33,0.61,0.025,0.03,2.939,0.036,0.051,5348.0,100.0,100.0,0.81,0.04,0.04,0.94,0.02,0.02,-0.15,0.06,0.06,4.3,0.1,0.1,8.7,,
HD_209458,6117,50,50,n,3.9,18.0,21.0,-999.0,-999.0,-999.0,Queloz_et_al._(2000),https://ui.adsabs.harvard.edu/abs/2000A%26A...359L..13Q,3.9,18.0,21.0,0,,n,RM,3.52474859,3.8e-07,3.8e-07,0.0,,,0.04707,0.00045,0.00047,86.71,0.05,0.05,0.73,0.04,0.04,1.39,0.02,0.02,0.12086,0.0001,0.0001,8.81,0.19,0.19,0.507,0.005,0.005,3.072,0.003,0.003,6091.0,10.0,10.0,1.23,0.09,0.09,1.19,0.02,0.02,0.01,,,4.45,0.02,0.02,3.1,0.8,0.7
HD_209458,6117,50,50,n,-4.4,1.4,1.4,-999.0,-999.0,-999.0,Winn_et_al._(2005),https://ui.adsabs.harvard.edu/abs/2005ApJ...631.1215W,4.4,1.4,1.4,0,,n,RM,3.52474859,3.8e-07,3.8e-07,0.0,,,0.04707,0.00045,0.00047,86.71,0.05,0.05,0.73,0.04,0.04,1.39,0.02,0.02,0.12086,0.0001,0.0001,8.81,0.19,0.19,0.507,0.005,0.005,3.072,0.003,0.003,6091.0,10.0,10.0,1.23,0.09,0.09,1.19,0.02,0.02,0.01,,,4.45,0.02,0.02,3.1,0.8,0.7
HD_209458,6117,50,50,n,-5.0,7.0,7.0,-999.0,-999.0,-999.0,Albrecht_et_al._(2012),https://ui.adsabs.harvard.edu/abs/2012ApJ...757...18A,5.0,7.0,7.0,0,,n,RM,3.52474859,3.8e-07,3.8e-07,0.0,,,0.04707,0.00045,0.00047,86.71,0.05,0.05,0.73,0.04,0.04,1.39,0.02,0.02,0.12086,0.0001,0.0001,8.81,0.19,0.19,0.507,0.005,0.005,3.072,0.003,0.003,6091.0,10.0,10.0,1.23,0.09,0.09,1.19,0.02,0.02,0.01,,,4.45,0.02,0.02,3.1,0.8,0.7
HD_209458,6117,50,50,n,0.6,0.4,0.4,-999.0,-999.0,-999.0,Santos_et_al._(2020),https://ui.adsabs.harvard.edu/abs/2020A%26A...644A..51S,0.6,0.4,0.4,0,,n,RM,3.52474859,3.8e-07,3.8e-07,0.0,,,0.04707,0.00045,0.00047,86.71,0.05,0.05,0.73,0.04,0.04,1.39,0.02,0.02,0.12086,0.0001,0.0001,8.81,0.19,0.19,0.507,0.005,0.005,3.072,0.003,0.003,6091.0,10.0,10.0,1.23,0.09,0.09,1.19,0.02,0.02,0.01,,,4.45,0.02,0.02,3.1,0.8,0.7
HD_209458,6117,50,50,y,1.58,0.08,0.08,-999.0,-999.0,-999.0,Casasayas-Barris_et_al._(2021),https://ui.adsabs.harvard.edu/abs/2021A%26A...647A..26C,1.58,0.08,0.08,0,,y,RM,3.52474859,3.8e-07,3.8e-07,0.0,,,0.04707,0.00045,0.00047,86.71,0.05,0.05,0.73,0.04,0.04,1.39,0.02,0.02,0.12086,0.0001,0.0001,8.81,0.19,0.19,0.507,0.005,0.005,3.072,0.003,0.003,6091.0,10.0,10.0,1.23,0.09,0.09,1.19,0.02,0.02,0.01,,,4.45,0.02,0.02,3.1,0.8,0.7
HD_332231,6089,97,96,n,-42.0,11.0,11.0,-999.0,-999.0,-999.0,Sedaghati_et_al._(2022),https://ui.adsabs.harvard.edu/abs/2022A%26A...659A..44S,42.0,11.0,11.0,0,,n,RM,18.712024,2.3e-05,2.3e-05,0.0,,,0.145,0.003,0.003,89.68,0.22,0.28,0.23314467,0.01761957,0.0169903,0.80944319,0.01670162,0.01564303,0.06570397,0.00059265,0.00046947,24.25,0.19,0.4,0.169195,0.145691,0.118742,6.1681657,0.0338313,0.0264842,6128.0,87.0,80.0,1.1642,0.0317,0.0337,1.266,0.0235,0.0227,0.043,0.063,0.061,4.296,0.021,0.019,2.9,0.9,0.8
HD_332231,6089,97,96,y,-2.0,6.0,6.0,-999.0,-999.0,-999.0,Knudstrup_&amp;_Albrecht_(2022),https://ui.adsabs.harvard.edu/abs/2022A%26A...660A..99K,2.0,6.0,6.0,0,,y,RM,18.712024,2.3e-05,2.3e-05,0.0,,,0.145,0.003,0.003,89.68,0.22,0.28,0.23314467,0.01761957,0.0169903,0.80944319,0.01670162,0.01564303,0.06570397,0.00059265,0.00046947,24.25,0.19,0.4,0.169195,0.145691,0.118742,6.1681657,0.0338313,0.0264842,6128.0,87.0,80.0,1.1642,0.0317,0.0337,1.266,0.0235,0.0227,0.043,0.063,0.061,4.296,0.021,0.019,2.9,0.9,0.8
HIP_67522b,5675,75,75,y,-5.8,2.8,5.7,20.2,10.3,8.7,Heitzmann_et_al._(2021),https://ui.adsabs.harvard.edu/abs/2021ApJ...922L...1H,5.8,5.7,2.8,0,,y,DT,6.9594731,2.2e-06,2.2e-06,0.064,0.187,0.049,0.0748,0.0016,0.0018,89.88,1.08,0.93,0.225,,,0.891,0.021,0.02,0.06644,0.0015,0.0014,11.66,0.24,0.27,0.03,0.19,0.22,4.85,1.13,0.36,5675.0,75.0,75.0,1.22,0.05,0.05,1.38,0.06,0.06,0.0,,,4.438,,,0.017,0.002,0.002
K2-025b,3207,58,58,n,1.7,5.8,3.7,-999.0,-999.0,-999.0,Gaidos_et_al._(2020),https://ui.adsabs.harvard.edu/abs/2020MNRAS.498L.119G,1.7,5.8,3.7,0,,n,RM,3.48456408,6e-07,5e-07,0.428,0.05,0.049,0.0287,0.0012,0.0012,87.16,0.18,0.21,0.07708562,0.01793421,0.01636103,0.306,0.011,0.011,0.1075,0.0018,0.0018,21.09,0.57,0.59,0.628,0.032,0.037,0.7637,0.0086,0.0089,3207.0,58.0,58.0,0.2634,0.0077,0.0077,0.2932,0.0093,0.0093,0.15,0.03,0.03,4.944,0.031,0.031,0.73,0.05,0.052
K2-025b,3207,58,58,y,3.0,16.0,16.0,17.0,11.0,8.0,Stefansson_et_al._(2020),https://ui.adsabs.harvard.edu/abs/2020AJ....160..192S,3.0,16.0,16.0,0,,y,RM,3.48456408,6e-07,5e-07,0.428,0.05,0.049,0.0287,0.0012,0.0012,87.16,0.18,0.21,0.07708562,0.01793421,0.01636103,0.306,0.011,0.011,0.1075,0.0018,0.0018,21.09,0.57,0.59,0.628,0.032,0.037,0.7637,0.0086,0.0089,3207.0,58.0,58.0,0.2634,0.0077,0.0077,0.2932,0.0093,0.0093,0.15,0.03,0.03,4.944,0.031,0.031,0.73,0.05,0.052
K2-029,5358,38,38,y,1.5,8.7,8.7,-999.0,-999.0,-999.0,Santerne_et_al._(2016),https://ui.adsabs.harvard.edu/abs/2016ApJ...824...55S,1.5,8.7,8.7,0,SFNG,y,RM,3.2588321,1.9e-06,1.9e-06,0.066,0.022,0.022,0.04217,0.00024,0.00024,86.656,0.11,0.08,0.73,0.04,0.04,1.19,0.02,0.02,0.14188,0.00062,0.00062,10.51,0.15,0.15,0.58,0.02,0.02,2.22,0.01,0.01,5358.0,38.0,38.0,0.94,0.02,0.02,0.86,0.01,0.01,0.16,0.03,0.03,4.54,0.012,0.012,2.6,1.2,1.2
K2-033,3540,70,70,y,-10.0,22.0,24.0,-999.0,-999.0,-999.0,Hirano_et_al._(2024),https://ui.adsabs.harvard.edu/abs/2024MNRAS.530.3117H,10.0,24.0,22.0,0,,y,DT,5.424865,3.5e-05,3.1e-05,0.0,,,0.0409,0.0021,0.0023,89.1,0.6,1.1,3.7,,,0.44963868,0.03033277,0.03300919,0.0432,0.0009,0.0007,10.4,0.27,0.5,0.16,0.19,0.11,4.08,0.07,0.07,3540.0,70.0,70.0,0.56,0.09,0.09,1.05,0.07,0.07,,,,4.06317,0.180218,0.133925,0.0093,0.0011,0.0013
K2-033,3540,70,70,n,-6.0,61.0,58.0,-999.0,-999.0,-999.0,Hirano_et_al._(2024),https://ui.adsabs.harvard.edu/abs/2024MNRAS.530.3117H,6.0,58.0,61.0,0,,n,RM,5.424865,3.5e-05,3.1e-05,0.0,,,0.0409,0.0021,0.0023,89.1,0.6,1.1,3.7,,,0.44963868,0.03033277,0.03300919,0.0432,0.0009,0.0007,10.4,0.27,0.5,0.16,0.19,0.11,4.08,0.07,0.07,3540.0,70.0,70.0,0.56,0.09,0.09,1.05,0.07,0.07,,,,4.06317,0.180218,0.133925,0.0093,0.0011,0.0013
K2-034,6131,47,47,y,-1.0,10.0,9.0,-999.0,-999.0,-999.0,Hirano_et_al._(2016),https://ui.adsabs.harvard.edu/abs/2016ApJ...825...53H,1.0,9.0,10.0,0,,y,RM,2.9956348,2e-07,2e-07,0.0,,,0.0442,0.002,0.002,82.23,0.19,0.19,1.698,0.061,0.05,1.22669495,0.05174422,0.05263637,0.0887,0.0005,0.0005,6.68,0.1,0.1,0.83,0.01,0.01,2.4768,0.00912,0.00888,6168.0,46.0,76.0,1.16,0.04,0.04,1.42,0.06,0.05,0.01,0.03,0.04,4.2,0.03,0.03,2.88,0.26,0.24
K2-093d,6320,60,30,y,57.0,26.0,18.0,-999.0,-999.0,-999.0,Grouffal_et_al._(2022),https://ui.adsabs.harvard.edu/abs/2022A%26A...668A.172G,57.0,26.0,18.0,0,,y,RM,1114.0,,,0.0,,,,,,89.93,0.025,0.018,0.0467,,,0.35328754,0.05263627,0.05263627,0.0256,0.0005,0.0007,147.03,,,0.5,0.27,0.27,12.71,0.26,0.26,6226.0,43.0,43.0,1.168,0.072,0.072,1.343,0.032,0.032,-0.11,0.08,0.08,4.2,0.03,0.03,4.279,0.931,0.931
K2-105,5430,70,70,y,-81.0,50.0,47.0,-999.0,-999.0,-999.0,Bourrier_et_al._(2023),https://ui.adsabs.harvard.edu/abs/2023A%26A...669A..63B,81.0,47.0,50.0,0,,y,RMR,8.2669928,7e-06,6.7e-06,0.0,,,0.0833,0.0039,0.0116,88.62,0.1,0.1,0.09439008,0.05978039,0.05978039,0.3202789,0.00981356,0.00624499,0.0339,0.001,0.0005,18.48,0.85,2.57,0.31,0.26,0.21,3.43,0.03,0.03,5636.0,49.0,52.0,1.05,0.02,0.02,0.97,0.01,0.01,0.23,0.04,0.03,4.49,0.01,0.01,0.6,,
K2-139,5245,73,33,y,-14.5,2.5,2.8,22.0,10.0,6.0,Espinoza-Retamal_et_al._(2025),https://ui.adsabs.harvard.edu/abs/arXiv:2412.08692,14.5,2.8,2.5,0,,y,RM,28.380619,0.000551,0.000528,0.12,0.12,0.08,0.1796,0.0015,0.0015,89.55668,0.25667,0.19809,0.387,0.083,0.075,0.81273976,0.01516638,0.01516638,0.0951,0.0012,0.0007,47.25,0.73,1.98,0.17,0.16,0.12,4.9392,0.0192,0.0192,5370.0,68.0,68.0,0.96,0.02,0.02,0.88,0.01,0.01,0.24,0.05,0.05,4.54,0.02,0.02,1.8,0.3,0.3
K2-139,5245,73,33,n,-17.0,7.0,7.0,-999.0,-999.0,-999.0,Prinoth_et_al._(2024),https://ui.adsabs.harvard.edu/abs/2024AJ....168..133P,17.0,7.0,7.0,0,,n,DT,28.380619,0.000551,0.000528,0.12,0.12,0.08,0.1796,0.0015,0.0015,89.55668,0.25667,0.19809,0.387,0.083,0.075,0.81273976,0.01516638,0.01516638,0.0951,0.0012,0.0007,47.25,0.73,1.98,0.17,0.16,0.12,4.9392,0.0192,0.0192,5370.0,68.0,68.0,0.96,0.02,0.02,0.88,0.01,0.01,0.24,0.05,0.05,4.54,0.02,0.02,1.8,0.3,0.3
K2-140,5654,55,55,y,0.5,9.7,9.7,-999.0,-999.0,-999.0,Rice_et_al._(2021),https://ui.adsabs.harvard.edu/abs/2021AJ....162..182R,0.5,9.7,9.7,0,,y,RM,6.569188,3.1e-05,3.1e-05,0.0,,,0.068,0.001,0.001,88.3,0.1,0.1,0.93,0.04,0.04,1.21,0.09,0.09,0.117,0.001,0.001,14.1,0.2,0.2,0.42,0.04,0.04,3.81,0.04,0.04,5585.0,120.0,120.0,0.96,0.06,0.04,1.06,0.07,0.06,0.1,0.1,0.1,4.4,0.2,0.2,9.8,3.4,4.6
K2-232,6154,60,60,y,-11.1,6.6,6.6,-999.0,-999.0,-999.0,Wang_et_al._(2021),https://ui.adsabs.harvard.edu/abs/2021AJ....162...50W,11.1,6.6,6.6,0,,y,RM,11.168454,2.3e-05,2.3e-05,0.258,0.025,0.025,0.10356,0.00081,0.00077,89.14,0.13,0.11,0.398,0.037,0.037,1.0,0.022,0.02,0.08868,0.00044,0.00042,19.25,0.27,0.31,0.108,0.08,0.072,5.03016,0.00792,0.00672,6154.0,60.0,60.0,1.188,0.028,0.026,1.161,0.024,0.024,0.1,0.04,0.04,4.379,0.017,0.017,1.43,0.82,0.75
K2-234,5622,70,71,y,74.0,34.0,33.0,80.0,22.0,23.0,Bourrier_et_al._(2023),https://ui.adsabs.harvard.edu/abs/2023A%26A...669A..63B,74.0,34.0,33.0,0,,y,RMR,11.8143,0.0002,0.0002,0.22,0.095,0.13,0.1066,0.0012,0.0014,87.21,0.43,0.22,0.11,0.017,0.018,0.66,0.028,0.03,0.0389,0.0011,0.0012,13.11,0.38,0.36,0.645,0.089,0.15,5.7336,0.0384,0.0384,5576.0,73.0,76.0,1.157,0.04,0.045,1.747,0.049,0.05,0.421,0.046,0.054,4.016,0.026,0.026,7.53,1.3,0.99
K2-261,5513,51,51,y,32.0,48.0,33.0,-999.0,-999.0,-999.0,Knudstrup_et_al._(2024),https://ui.adsabs.harvard.edu/abs/2024A%26A...690A.379K,32.0,48.0,33.0,0,,y,RM,11.6334681,4.4e-06,4.4e-06,0.274,0.065,0.061,0.1086,0.0012,0.0012,88.58,0.85,0.57,0.217,0.025,0.029,0.827,0.033,0.03,0.05274,0.00076,0.00049,14.51,0.51,0.47,0.29,0.14,0.18,5.1288,0.0336,0.0264,5490.0,110.0,110.0,1.107,0.042,0.047,1.663,0.071,0.068,0.372,0.069,0.072,4.04,0.038,0.041,8.8,1.7,1.2
K2-267,6189,47,52,y,-1.48,0.85,0.85,3.4,3.5,1.6,Yu_et_al._(2018),https://ui.adsabs.harvard.edu/abs/2018AJ....156..250Y,1.48,0.85,0.85,0,NG,y,DT,6.180235,1.4e-05,1.4e-05,,,,0.07229,0.00074,0.00075,86.21,0.17,0.17,3.0,1.1,1.2,1.051,0.044,0.044,0.0681,0.0025,0.0026,9.8,0.17,0.17,0.647,0.017,0.018,4.10808,0.01776,0.018,6202.0,52.0,50.0,1.317,0.041,0.04,1.586,0.034,0.033,0.141,0.082,0.085,4.157,0.016,0.016,3.02,0.44,0.46
K2-287,5625,64,64,y,23.0,12.0,13.0,-999.0,-999.0,-999.0,Knudstrup_et_al._(2024),https://ui.adsabs.harvard.edu/abs/2024A%26A...690A.379K,23.0,12.0,13.0,0,,y,RM,14.893291,2.5e-05,2.5e-05,0.478,0.025,0.026,0.1206,0.0008,0.0008,88.13,0.1,0.08,0.315,0.027,0.027,0.847,0.013,0.013,0.08014,0.00086,0.00098,23.87,0.3,0.31,0.779,,,,,,5695.0,58.0,58.0,1.056,0.022,0.022,1.07,0.01,0.01,0.2,0.04,0.04,4.398,0.015,0.015,4.5,1.0,1.0
K2-290b,6302,120,120,y,173.0,45.0,53.0,-999.0,-999.0,-999.0,Hjorth_et_al.(2021),https://ui.adsabs.harvard.edu/abs/2021PNAS..11820174H,173.0,45.0,53.0,0,SNG,y,RM,9.21165,0.00033,0.00034,0.0,,,0.0923,0.0066,0.0066,88.14,0.62,0.5,0.03429506,,,0.27299491,0.01427424,0.01427424,0.019,0.00028,0.00028,13.15,0.69,0.66,0.438,0.023,0.023,4.96,0.31,0.31,6302.0,120.0,120.0,1.194,0.067,0.077,1.511,0.075,0.072,-0.06,0.1,0.1,4.23,0.1,0.1,4.0,1.6,0.8
K2-290c,6302,120,120,y,153.0,8.0,8.0,124.0,6.0,6.0,Hjorth_et_al.(2021),https://ui.adsabs.harvard.edu/abs/2021PNAS..11820174H,153.0,8.0,8.0,0,SNG,y,RM,48.36685,0.00041,0.0004,0.0,,,0.305,0.017,0.017,89.37,0.08,0.07,0.774,0.047,0.047,1.006,0.05,0.05,0.06848,0.00042,0.00047,43.5,1.2,1.2,0.474,0.012,0.012,8.14,0.26,0.26,6302.0,120.0,120.0,1.194,0.067,0.077,1.511,0.075,0.072,-0.06,0.1,0.1,4.23,0.1,0.1,4.0,1.6,0.8
K2-329,5282,40,39,y,26.7,8.5,8.0,33.3,7.9,8.3,Espinoza-Retamal_et_al._(2025),https://ui.adsabs.harvard.edu/abs/arXiv:2412.08692,26.7,8.5,8.0,0,G,y,RM,12.4551225,3.1e-06,3.1e-06,0.0697,0.041,0.04,0.1016,0.0018,0.0019,89.22,0.11,0.09,0.26,0.02,0.022,0.774,0.026,0.024,0.09679,0.00056,0.00057,26.62,0.46,0.61,0.364,0.039,0.048,3.621,0.019,0.017,5282.0,40.0,39.0,0.901,0.048,0.049,0.822,0.026,0.024,0.098,0.065,0.07,4.566,0.013,0.021,1.8,2.2,1.3
K2-329,5282,40,39,n,24.0,13.0,9.0,-999.0,-999.0,-999.0,Prinoth_et_al._(2024),https://ui.adsabs.harvard.edu/abs/2024AJ....168..133P,24.0,13.0,9.0,0,G,n,DT,12.4551225,3.1e-06,3.1e-06,0.0697,0.041,0.04,0.1016,0.0018,0.0019,89.22,0.11,0.09,0.26,0.02,0.022,0.774,0.026,0.024,0.09679,0.00056,0.00057,26.62,0.46,0.61,0.364,0.039,0.048,3.621,0.019,0.017,5282.0,40.0,39.0,0.901,0.048,0.049,0.822,0.026,0.024,0.098,0.065,0.07,4.566,0.013,0.021,1.8,2.2,1.3
KELT-01,6471,50,49,y,2.0,16.0,16.0,-999.0,-999.0,-999.0,Siverd_et_al._(2012),https://ui.adsabs.harvard.edu/abs/2012ApJ...761..123S,2.0,16.0,16.0,0,,y,RM,1.217514,1.5e-05,1.5e-05,0.0099,0.01,0.0069,0.02466,0.00016,0.00016,87.8,1.3,1.9,27.23,0.5,0.48,1.11,0.032,0.022,0.0771,0.0003,0.0003,3.69,0.04,0.04,0.232,0.063,0.072,2.76456,0.01584,0.01392,6516.0,49.0,49.0,1.335,0.063,0.063,1.471,0.045,0.035,0.052,0.079,0.079,4.228,0.014,0.021,,,
KELT-03,6306,50,49,y,-5.0,4.0,4.0,-999.0,-999.0,-999.0,Knudstrup_et_al._(2024),https://ui.adsabs.harvard.edu/abs/2024A%26A...690A.379K,5.0,4.0,4.0,0,NG,y,RM,2.70339,1e-05,1e-05,0.0,,,0.04123,0.00066,0.00066,84.14,0.57,0.57,1.94,0.33,0.33,1.56,0.11,0.11,0.0939,0.0011,0.0011,6.0,0.27,0.27,0.606,0.037,0.046,3.1512,0.0384,0.0384,6304.0,49.0,49.0,1.96,0.5,0.5,1.7,0.12,0.12,0.05,,,4.2,0.03,0.03,3.0,0.2,0.2
KELT-04,6206,75,75,y,80.0,25.0,22.0,-999.0,-999.0,-999.0,Knudstrup_et_al._(2024),https://ui.adsabs.harvard.edu/abs/2024A%26A...690A.379K,80.0,25.0,22.0,0,SNG,y,RM,2.9895932,4.9e-06,4.9e-06,0.0,,,0.04317,0.00079,0.00074,83.16,0.22,0.21,0.902,0.06,0.059,1.699,0.046,0.045,0.10893,0.00054,0.00054,5.792,0.086,0.082,0.689,0.011,0.012,3.46272,0.02016,0.01992,6206.0,75.0,75.0,1.201,0.067,0.061,1.603,0.039,0.038,-0.116,0.065,0.069,4.108,0.014,0.014,4.44,0.78,0.89
KELT-06,6246,88,88,y,-36.0,11.0,11.0,-999.0,-999.0,-999.0,Damasso_et_al._(2015),https://ui.adsabs.harvard.edu/abs/2015A%26A...581L...6D,36.0,11.0,11.0,0,,y,RM,7.8457,0.0002,0.0002,0.22,0.11,0.11,0.07939,0.001,0.00099,88.81,0.85,0.85,0.52,0.12,0.12,1.3,0.09,0.09,0.077613,0.001,0.0009,10.83,0.89,0.89,0.2,0.14,0.13,5.892,0.521,0.521,6102.0,43.0,43.0,1.42,0.46,0.46,1.73,0.12,0.12,-0.28,,,4.07,0.06,0.06,6.1,0.2,0.2
KELT-07,6699,24,24,n,9.7,5.2,5.2,-999.0,-999.0,-999.0,Bieryla_et_al._(2015),https://ui.adsabs.harvard.edu/abs/2015AJ....150...12B,9.7,5.2,5.2,0,,n,RM,2.73477,4e-06,4e-06,0.0,,,0.04415,0.00062,0.00052,83.76,0.38,0.38,1.39,0.22,0.22,1.6,0.06,0.06,0.0922,0.0004,0.0004,5.5,0.17,0.17,0.593,0.017,0.017,3.5112,0.02328,0.02208,6768.0,7.0,7.0,1.76,0.25,0.25,1.81,0.07,0.07,0.0,,,4.5,,,1.3,0.2,0.2
KELT-07,6699,24,24,n,2.7,0.6,0.6,-999.0,-999.0,-999.0,Zhou_et_al._(2016),https://ui.adsabs.harvard.edu/abs/2016MNRAS.460.3376Z,2.7,0.6,0.6,0,,n,DT,2.73477,4e-06,4e-06,0.0,,,0.04415,0.00062,0.00052,83.76,0.38,0.38,1.39,0.22,0.22,1.6,0.06,0.06,0.0922,0.0004,0.0004,5.5,0.17,0.17,0.593,0.017,0.017,3.5112,0.02328,0.02208,6768.0,7.0,7.0,1.76,0.25,0.25,1.81,0.07,0.07,0.0,,,4.5,,,1.3,0.2,0.2
KELT-07,6699,24,24,y,-10.55,0.27,0.27,12.4,11.7,11.7,Tabernero_et_al._(2022),https://ui.adsabs.harvard.edu/abs/2022MNRAS.515.1247T,10.55,0.27,0.27,0,,y,RM,2.73477,4e-06,4e-06,0.0,,,0.04415,0.00062,0.00052,83.76,0.38,0.38,1.39,0.22,0.22,1.6,0.06,0.06,0.0922,0.0004,0.0004,5.5,0.17,0.17,0.593,0.017,0.017,3.5112,0.02328,0.02208,6768.0,7.0,7.0,1.76,0.25,0.25,1.81,0.07,0.07,0.0,,,4.5,,,1.3,0.2,0.2
