System,teff,teffuerr,tefflerr,pflag,lambdadeg,lambdauerr,lambdalerr,psi,psiuerr,psilerr,Author_string,Ephemeris_Url,normalized_lambdadeg,normalized_lambdauerr,normalized_lambdalerr,Albrecht2022_Excluded_Flag,BinaryMultiStarFlag,SOCatflag,Method,pl_orbper,pl_orbperuerr,pl_orbperlerr,pl_orbeccen,pl_orbeccenuerr,pl_orbeccenlerr,pl_orbsmax,pl_orbsmaxuerr,pl_orbsmaxlerr,pl_orbincl,pl_orbincluerr,pl_orbincllerr,pl_bmassj,pl_bmassjuerr,pl_bmassjlerr,pl_radj,pl_radjuerr,pl_radjlerr,pl_ratror,pl_ratroruerr,pl_ratrorlerr,pl_ratdor,pl_ratdoruerr,pl_ratdorlerr,pl_imppar,pl_impparuerr,pl_impparlerr,pl_trandur,pl_tranduruerr,pl_trandurlerr,st_teff,st_teffuerr,st_tefflerr,st_mass,st_massuerr,st_masslerr,st_rad,st_raduerr,st_radlerr,st_met,st_metuerr,st_metlerr,st_logg,st_logguerr,st_logglerr,st_age,st_ageuerr,st_agelerr
CoRoT-02,5598,50,50,n,4.7,12.3,12.3,-999.0,-999.0,-999.0,Nutzmann_et_al._(2011),https://ui.adsabs.harvard.edu/abs/2011ApJ...740L..10N,4.7,12.3,12.3,0,NG,n,SC,1.7429935,1e-06,1e-06,0.0143,0.0077,0.0076,0.02798,0.00076,0.0008,88.08,0.18,0.16,3.47,0.22,0.22,1.466,0.042,0.044,0.1667,0.0006,0.0006,6.7,0.03,0.03,0.221,0.017,0.019,2.26704,0.00264,0.0024,5625.0,120.0,120.0,0.96,0.08,0.08,0.906,0.026,0.027,0.04,0.05,0.05,4.53,0.016,0.016,2.7,3.2,2.7
CoRoT-02,5598,50,50,n,4.0,5.9,6.1,-999.0,-999.0,-999.0,Gillon_et_al._(2010),https://ui.adsabs.harvard.edu/abs/2010A%26A...511A...3G,4.0,5.9,6.1,0,NG,n,RM,1.7429935,1e-06,1e-06,0.0143,0.0077,0.0076,0.02798,0.00076,0.0008,88.08,0.18,0.16,3.47,0.22,0.22,1.466,0.042,0.044,0.1667,0.0006,0.0006,6.7,0.03,0.03,0.221,0.017,0.019,2.26704,0.00264,0.0024,5625.0,120.0,120.0,0.96,0.08,0.08,0.906,0.026,0.027,0.04,0.05,0.05,4.53,0.016,0.016,2.7,3.2,2.7
CoRoT-03,6558,44,44,y,-37.6,22.3,10.0,-999.0,-999.0,-999.0,Triaud_et_al._(2009),https://ui.adsabs.harvard.edu/abs/2009A%26A...506..377T,37.6,10.0,22.3,0,,y,RM,4.2568,5e-06,5e-06,0.0,,,0.05783,0.00085,0.00085,85.9,0.8,0.8,21.66,1.0,1.0,1.01,0.07,0.07,0.0663,0.0009,0.0009,7.8,0.4,0.4,0.55,0.08,0.08,3.384,0.024,0.0192,6740.0,140.0,140.0,1.37,0.09,0.09,1.56,0.09,0.09,0.14,0.04,0.04,4.22,0.07,0.07,2.2,0.6,0.6
CoRoT-11,6343,72,72,y,0.1,2.6,2.6,-999.0,-999.0,-999.0,Gandolfi_et_al._(2012),https://ui.adsabs.harvard.edu/abs/2012A%26A...543L...5G,0.1,2.6,2.6,0,G,y,DT,2.99433,1.1e-05,1.1e-05,0.0,,,0.0436,0.005,0.005,83.17,0.15,0.15,2.33,0.34,0.34,1.43,0.03,0.03,0.107,0.0005,0.0005,6.89,0.08,0.08,0.818,0.008,0.008,2.5009,0.0144,0.0144,6440.0,120.0,120.0,1.27,0.05,0.05,1.37,0.03,0.03,-0.03,0.08,0.08,4.22,0.23,0.23,2.0,1.0,1.0
CoRoT-18,5440,100,100,y,-10.0,20.0,20.0,20.0,20.0,20.0,H&eacute;brard_et_al._(2011),https://ui.adsabs.harvard.edu/abs/2011A%26A...533A.130H,10.0,20.0,20.0,0,,y,RM,1.9000693,2.8e-06,2.8e-06,0.08,,,0.0295,0.0016,0.0016,86.5,1.4,0.9,3.47,0.38,0.38,1.31,0.18,0.18,0.1341,0.0019,0.0019,6.35,0.4,0.4,0.4,0.08,0.14,2.387,0.038,0.038,5440.0,100.0,100.0,0.95,0.15,0.15,1.0,0.13,0.13,-0.1,0.1,0.1,4.4,0.1,0.1,0.6,0.0,0.6
CoRoT-19,6090,70,70,y,-52.0,27.0,22.0,-999.0,-999.0,-999.0,Guenther_et_al._(2012),https://ui.adsabs.harvard.edu/abs/2012A%26A...537A.136G,52.0,22.0,27.0,1,,y,RM,3.89713,2e-05,2e-05,0.047,0.045,0.045,0.0518,0.0008,0.0008,88.0,0.7,0.7,1.11,0.06,0.06,1.29,0.03,0.03,0.0786,0.0004,0.0004,6.7,0.1,0.1,0.24,0.08,0.08,4.7,0.1,0.1,6090.0,70.0,70.0,1.21,0.05,0.05,1.65,0.04,0.04,-0.02,0.1,0.1,4.07,0.03,0.03,5.0,1.0,1.0
CoRoT-36,6730,140,140,y,275.8,11.3,11.3,-999.0,-999.0,-999.0,Sebastian_et_al._(2022),https://ui.adsabs.harvard.edu/abs/2022MNRAS.516..636S,84.2,11.3,11.3,0,,y,RM,5.616531,2.3e-05,2.3e-05,0.0,,,0.066,0.007,0.007,85.83,0.26,0.26,0.68,0.47,0.43,1.41,0.14,0.14,,,,,,,0.573,0.023,0.025,4.98,0.07,0.07,6730.0,140.0,140.0,1.32,0.09,0.09,1.52,0.2,0.1,-0.1,0.1,0.1,4.16,0.06,0.06,2.1,0.6,0.5
DS_Tuc,5598,28,59,y,2.93,0.88,0.87,-999.0,-999.0,-999.0,Zhou_et_al._(2020),https://ui.adsabs.harvard.edu/abs/2020ApJ...892L..21Z,2.93,0.88,0.87,0,SFNG,y,RM,8.138268,1.1e-05,1.1e-05,0.0,,,,,,89.5,0.34,0.41,1.3,,,0.50851994,0.01516638,0.01516638,0.05419,0.00024,0.00024,20.35,0.29,0.69,0.18,0.13,0.12,3.1764,0.01176,0.00936,5428.0,80.0,80.0,1.01,0.06,0.06,0.964,0.029,0.029,0.0,,,4.6,0.15,0.15,0.045,0.004,0.004
DS_Tuc,5598,28,59,n,12.1,2.6,2.1,-999.0,-999.0,-999.0,Benatti_et_al._(2021),https://ui.adsabs.harvard.edu/abs/2021A%26A...650A..66B,12.1,2.6,2.1,0,SFNG,n,RM,8.138268,1.1e-05,1.1e-05,0.0,,,,,,89.5,0.34,0.41,1.3,,,0.50851994,0.01516638,0.01516638,0.05419,0.00024,0.00024,20.35,0.29,0.69,0.18,0.13,0.12,3.1764,0.01176,0.00936,5428.0,80.0,80.0,1.01,0.06,0.06,0.964,0.029,0.029,0.0,,,4.6,0.15,0.15,0.045,0.004,0.004
EPIC_219388192,5553,82,86,n,16.0,16.0,15.0,25.0,11.0,14.0,Zak_et_al._(2025),https://ui.adsabs.harvard.edu/abs/arXiv:2505.20516,16.0,16.0,15.0,0,,n,RM,5.292569,2.6e-05,2.6e-05,0.1893,,,0.0593,,,89.63,,,36.0,1.6,1.6,0.846,0.021,0.021,,,,,,,,,,,,,5850.0,,,0.99,,,1.01,,,0.03,,,,,,,,
